"NAME","BASIN","REGION","BASIN_ID","area","area_km2","BCU_name"
"Africa East Central Coast - AFR","Africa East Central Coast","AFR",1,85.6407192708847,1037883.57457206,"1|AFR"
"Africa Indian Ocean Coast - AFR","Africa Indian Ocean Coast","AFR",2,21.1274091566919,243899.943980057,"2|AFR"
"Africa North Interior - AFR","Africa North Interior","AFR",3,105.216562217766,1209639.3792132,"3|AFR"
"Africa North West Coast - AFR","Africa North West Coast","AFR",4,25.6873406556006,298426.823374682,"4|AFR"
"Africa Red Sea Gulf of Aden Coast - AFR","Africa Red Sea Gulf of Aden Coast","AFR",5,48.304441467967,585874.354092506,"5|AFR"
"Africa South Interior - AFR","Africa South Interior","AFR",6,74.3232435534603,863903.144677722,"6|AFR"
"Africa West Coast - AFR","Africa West Coast","AFR",7,67.7207484004699,822709.492280389,"7|AFR"
"Africa West Coast - AFR","Africa West Coast","AFR",8,16.0127118248886,195431.288593632,"8|AFR"
"Angola Coast - AFR","Angola Coast","AFR",13,42.1350652928656,506503.729172051,"13|AFR"
"Congo - AFR","Congo","AFR",38,301.20346994946,3688468.87952337,"38|AFR"
"Gulf of Guinea - AFR","Gulf of Guinea","AFR",57,57.6331317885869,707844.131026168,"57|AFR"
"Lake Chad - AFR","Lake Chad","AFR",78,189.082585256174,2245019.2153342,"78|AFR"
"Limpopo - AFR","Limpopo","AFR",80,36.3407949546168,411537.149830089,"80|AFR"
"Madagascar - AFR","Madagascar","AFR",82,51.0511559229043,592815.646554964,"82|AFR"
"Namibia Coast - AFR","Namibia Coast","AFR",92,22.8332512068323,260119.130274544,"92|AFR"
"Niger - AFR","Niger","AFR",95,163.275560520987,1954311.59053418,"95|AFR"
"Nile - AFR","Nile","AFR",96,69.5750616463425,848888.285966385,"96|AFR"
"Orange - AFR","Orange","AFR",107,89.0928294768919,975683.02767157,"107|AFR"
"Rift Valley - AFR","Rift Valley","AFR",121,52.691470748962,642681.064563093,"121|AFR"
"Senegal - AFR","Senegal","AFR",129,38.3770506415186,456381.40875559,"129|AFR"
"Shebelli Juba - AFR","Shebelli Juba","AFR",130,64.7610768117536,794436.545225901,"130|AFR"
"South Africa South Coast - AFR","South Africa South Coast","AFR",135,37.8396373396322,402570.386649233,"135|AFR"
"South Africa West Coast - AFR","South Africa West Coast","AFR",136,10.5469357475168,110964.506621829,"136|AFR"
"Volta - AFR","Volta","AFR",158,33.958874978699,410999.801449514,"158|AFR"
"Zambezi - AFR","Zambezi","AFR",161,115.441817038754,1373200.90839793,"161|AFR"
"Amur - CHN","Amur","CHN",11,118.195176436825,988839.351250819,"11|CHN"
"China Coast - CHN","China Coast","CHN",35,35.2314586262084,369974.818192495,"35|CHN"
"Ganges Bramaputra - CHN","Ganges Bramaputra","CHN",53,29.3593869905682,315813.627336444,"53|CHN"
"Gobi Interior - CHN","Gobi Interior","CHN",54,96.4139399982324,876111.696252717,"54|CHN"
"Hainan - CHN","Hainan","CHN",60,2.93450163815911,34161.4498569053,"60|CHN"
"Hong Red River Xun Jiang South China Sea Coast - CHN","Hong Red River Xun Jiang South China Sea Coast","CHN",61,57.905352536406,652476.224748953,"61|CHN"
"Huang He - CHN","Huang He","CHN",62,97.5892706376052,963305.893215729,"62|CHN"
"Indus - CHN","Indus","CHN",67,9.17213900089549,95598.0224345673,"67|CHN"
"Irrawaddy Salween Sittang - CHN","Irrawaddy Salween Sittang","CHN",70,14.6895956733614,158244.336325541,"70|CHN"
"Lake Balkash - CHN","Lake Balkash","CHN",77,8.70989113807568,77327.3230004988,"77|CHN"
"Mekong - CHN","Mekong","CHN",88,15.1320318706171,164746.578075919,"88|CHN"
"North and South Korea Bo Hai Korean Bay North Coast - CHN","North and South Korea Bo Hai Korean Bay North Coast","CHN",98,34.4220451116315,314886.585845333,"98|CHN"
"Ob - CHN","Ob","CHN",105,10.5629417985277,88732.8256035276,"105|CHN"
"Plateau of Tibet Interior - CHN","Plateau of Tibet Interior","CHN",118,38.1352866146846,398534.121714659,"118|CHN"
"Russia South East Coast - CHN","Russia South East Coast","CHN",123,3.64312013899046,32831.9680093301,"123|CHN"
"Tarim Interior - CHN","Tarim Interior","CHN",148,163.252847065068,1583765.90012104,"148|CHN"
"Yangtze - CHN","Yangtze","CHN",159,180.674341349942,1922652.30883649,"159|CHN"
"Ziya He Interior - CHN","Ziya He Interior","CHN",162,35.715381627626,342560.63818529,"162|CHN"
"Adriatic Sea Greece Black Sea Coast - EEU","Adriatic Sea Greece Black Sea Coast","EEU",0,19.0144206024552,173363.569610449,"0|EEU"
"Danube - EEU","Danube","EEU",39,70.9082872950923,611034.203723855,"39|EEU"
"Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast - EEU","Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast","EEU",48,6.26004336871745,50039.7704306199,"48|EEU"
"Oder Wisla Neman Daugava Neva Poland Baltic Coast - EEU","Oder Wisla Neman Daugava Neva Poland Baltic Coast","EEU",106,67.7845784615592,495734.914573311,"106|EEU"
"Amu Darya - FSU","Amu Darya","FSU",10,68.6835347999179,638880.526372685,"10|FSU"
"Amur - FSU","Amur","FSU",11,129.326629721752,1005837.93579931,"11|FSU"
"Arctic Ocean Islands - FSU","Arctic Ocean Islands","FSU",16,30.9175603956012,95059.0891508528,"16|FSU"
"Barents Sea Coast Northern Dvina - FSU","Barents Sea Coast Northern Dvina","FSU",23,184.356689413426,989905.001426388,"23|FSU"
"Black Sea North Coast - FSU","Black Sea North Coast","FSU",25,20.7626087447651,179779.638782075,"25|FSU"
"Black Sea South Coast - FSU","Black Sea South Coast","FSU",26,3.49540361810978,31889.1221807568,"26|FSU"
"Caspian Sea East Coast - FSU","Caspian Sea East Coast","FSU",30,55.5016737422857,526071.782426098,"30|FSU"
