message_technology,first_year_original,SSP1,SSP2,SSP3,SSP4,SSP5,LED
coal_ppl,2005,medium,medium,high,medium,medium,low
gas_ppl,2005,high,medium,low,medium,high,very_high
gas_ct,2005,high,medium,low,medium,high,very_high
gas_cc,2005,high,medium,low,medium,high,very_high
bio_ppl,2005,high,medium,low,high,medium,very_high
coal_adv,2010,medium,medium,high,medium,medium,low
igcc,2010,medium,medium,high,medium,medium,low
bio_istig,2010,high,medium,low,high,medium,very_high
coal_adv_ccs,2030,medium,medium,low,high,high,low
igcc_ccs,2030,medium,medium,low,high,high,low
gas_cc_ccs,2030,medium,medium,low,high,high,low
bio_istig_ccs,2030,medium,medium,low,high,high,low
syn_liq,2020,medium,medium,high,medium,medium,low
meth_coal,2020,medium,medium,high,medium,medium,low
syn_liq_ccs,2030,medium,medium,low,high,high,low
meth_coal_ccs,2030,medium,medium,low,high,high,low
h2_coal,2010,medium,medium,high,medium,medium,low
h2_smr,2010,high,medium,low,medium,high,very_high
h2_bio,2020,high,medium,low,high,medium,very_high
h2_coal_ccs,2030,medium,medium,low,high,high,low
h2_smr_ccs,2030,medium,medium,low,high,high,low
h2_bio_ccs,2030,medium,medium,low,high,high,low
eth_bio,2005,high,medium,low,high,medium,very_high
eth_bio_ccs,2030,medium,medium,low,high,high,low
c_ppl_co2scr,2030,medium,medium,low,high,high,low
g_ppl_co2scr,2030,medium,medium,low,high,high,low
bio_ppl_co2scr,2030,medium,medium,low,high,high,low
wind_ppl,2020,high,medium,low,high,medium,very_high
wind_ppf,2020,low,low,low,low,low,very_low
solar_th_ppl,2005,high,medium,low,high,medium,very_high
solar_pv_I,2005,high,medium,low,high,medium,very_high
solar_pv_RC,2005,high,medium,low,high,medium,very_high
solar_pv_ppl,2020,high,medium,low,high,medium,very_high
geo_ppl,2005,high,medium,low,high,medium,very_high
hydro_lc,2005,high,medium,low,high,medium,very_high
hydro_hc,2005,high,medium,low,high,medium,very_high
meth_ng,2020,high,medium,low,medium,high,very_high
meth_ng_ccs,2030,medium,medium,low,high,high,low
coal_ppl_u,2005,medium,medium,high,medium,medium,low
stor_ppl,2005,high,medium,low,high,medium,very_high
h2_elec,2010,high,medium,low,high,medium,very_high
liq_bio,2020,high,medium,low,high,medium,very_high
liq_bio_ccs,2030,medium,medium,low,high,high,low
coal_i,1985,medium,medium,high,medium,medium,low
foil_i,1985,high,medium,low,medium,high,very_high
loil_i,1985,high,medium,low,medium,high,very_high
gas_i,1985,high,medium,low,medium,high,very_high
biomass_i,1985,high,medium,low,high,medium,very_high
eth_i,2010,high,medium,low,high,medium,very_high
meth_i,2010,medium,medium,high,medium,medium,low
elec_i,1985,low,low,low,low,low,very_low
h2_i,2030,low,low,low,low,low,very_low
hp_el_i,2010,high,medium,low,high,medium,very_high
hp_gas_i,2010,high,medium,low,medium,high,very_high
solar_i,2010,high,medium,low,high,medium,very_high
heat_i,1985,low,low,low,low,low,very_low
geo_hpl,1986,high,medium,low,high,medium,very_high
nuc_lc,2005,medium,medium,low,high,high,low
nuc_hc,2005,medium,medium,low,high,high,low
csp_sm1_ppl,2010,low,low,low,low,low,very_low
csp_sm3_ppl,2010,low,low,low,low,low,very_low
