# Eric's adjusted/manual fixed O&M costs for MESSAGE technologies
#
# Units: 2005 USD per kW
# 
# - This is copied directly from the RegionDiff sheet in SSP1_techinput.xlsx
# - The values are based on a lot of different assumptions (see the SSP2, Eric_WEO, and Eric_Summary sheets in the Excel file)
# - For some (such as coal_i, foil_i, etc), I can't tell where the values are derived from (no linked source in RegionDiff)
# - MM note: Might be worth it at some point to derive these numbers
message_technology,fom_cost_nam_original_message
coal_ppl,57.39906238
gas_ppl,22.91432802
gas_ct,8.474576271
gas_cc,22.591591
bio_ppl,63.13896862
coal_adv,88.51224105
igcc,67.78151548
bio_istig,74.55966703
coal_adv_ccs,118.6440678
igcc_ccs,98.11424226
gas_cc_ccs,47.75082991
bio_istig_ccs,107.9256665
syn_liq,54.88325513
meth_coal,39.97785585
syn_liq_ccs,55.63708418
meth_coal_ccs,40.59825818
h2_coal,39.63932799
h2_smr,19.97577704
h2_bio,68.62863083
h2_coal_ccs,40.65613511
h2_smr_ccs,25.97216764
h2_bio_ccs,70.0925439
eth_bio,49.8866981
eth_bio_ccs,75.22661741
c_ppl_co2scr,48.88
g_ppl_co2scr,30.056
bio_ppl_co2scr,58.656
wind_ppl,37.66478343
wind_ppf,68
solar_th_ppl,101.291364
solar_pv_I,22.59887006
solar_pv_RC,22.59887006
solar_pv_ppl,22.59887006
geo_ppl,179.9838579
hydro_lc,56.63169222
hydro_hc,69.67984934
meth_ng,21.01753163
meth_ng_ccs,22.7807204
coal_ppl_u,40
stor_ppl,32
h2_elec,20
liq_bio,81.00412369
liq_bio_ccs,82.53250338
coal_i,50
foil_i,25
loil_i,15
gas_i,15
biomass_i,65
eth_i,15
meth_i,15
elec_i,10
h2_i,15
hp_el_i,90
hp_gas_i,90
solar_i,120
heat_i,10
geo_hpl,50
nuc_lc,90
nuc_hc,90
csp_sm1_ppl,99
csp_sm3_ppl,213
