# Eric's adjusted/manual investment costs for MESSAGE technologies
#
# Units: 2005 USD per kW
# 
# - This is copied directly from the RegionDiff sheet in SSP1_techinput.xlsx
# - The values are based on a lot of different assumptions (see the SSP2, Eric_WEO, and Eric_Summary sheets in the Excel file)
# - For some (such as coal_i, foil_i, etc), I can't tell where the values are derived from (no linked source in RegionDiff)
# - MM note: Might be worth it at some point to derive these numbers
message_technology,investment_cost_nam_original_message
coal_ppl,1434.97656
gas_ppl,572.8582005
gas_ct,338.8738651
gas_cc,564.7897751
bio_ppl,1578.474215
coal_adv,2212.806026
igcc,1694.537887
bio_istig,1863.991676
coal_adv_ccs,2966.101695
igcc_ccs,2452.856056
gas_cc_ccs,1193.770748
bio_istig_ccs,2698.141662
syn_liq,1372.081378
meth_coal,999.4463962
syn_liq_ccs,1390.927104
meth_coal_ccs,1014.956455
h2_coal,990.9831999
h2_smr,499.394426
h2_bio,1715.715771
h2_coal_ccs,1016.403378
h2_smr_ccs,649.3041911
h2_bio_ccs,1752.313597
eth_bio,1247.167452
eth_bio_ccs,1880.665435
c_ppl_co2scr,1222
g_ppl_co2scr,751.4
bio_ppl_co2scr,1466.4
wind_ppl,1661.285983
wind_ppf,2492
solar_th_ppl,2892.117299
solar_pv_I,3551.251009
solar_pv_RC,3551.251009
solar_pv_ppl,3551.251009
geo_ppl,3457.08905
hydro_lc,2266.61286
hydro_hc,3174.603175
meth_ng,525.4382907
meth_ng_ccs,569.5180101
coal_ppl_u,1000
stor_ppl,800
h2_elec,500
liq_bio,2025.103092
liq_bio_ccs,2063.312585
coal_i,170
foil_i,107
loil_i,93
gas_i,97
biomass_i,250
eth_i,93
meth_i,93
elec_i,50
h2_i,97
hp_el_i,800
hp_gas_i,880
solar_i,2200
heat_i,50
geo_hpl,1500
nuc_lc,3800
nuc_hc,5000
csp_sm1_ppl,4609
csp_sm3_ppl,9932
