message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio
CH2O_synth,,,,
CH2O_to_resin,,,,
DUMMY_alumina_supply,,,,
DUMMY_coal_supply,,,,
DUMMY_gas_supply,,,,
DUMMY_limestone_supply_cement,,,,
DUMMY_limestone_supply_steel,,,,
DUMMY_ore_supply,,,,
MTO_petro,intratec,,870.3849175,0.037
NH3_to_N_fertil,,,2537.625418,0.04
agg_ref,,,,
atm_distillation_ref,,,30.25954286,0.021
bf_steel,,,,0.1
biomass_NH3,energy,igcc,3646.957331,0.036
biomass_NH3_ccs,energy,igcc_ccs,3876.680306,0.038
bof_steel,,,,0.089
catalytic_cracking_ref,,,181.5572571,0.022
catalytic_reforming_ref,,,181.5572571,0.003
clinker_dry_ccs_cement,,,,0.167
clinker_dry_cement,,,,0.001
clinker_wet_ccs_cement,,,,0.167
clinker_wet_cement,,,,0.001
coal_NH3,energy,igcc,2917.565865,0.036
coal_NH3_ccs,energy,igcc_ccs,3087.128546,0.038
cokeoven_steel,,,,0.001
coking_ref,,,235.4813143,0.021
dheat_aluminum,energy,heat_i,,0.271
dheat_cement,energy,heat_i,,0.271
dheat_petro,energy,heat_i,,0.271
dheat_refining,energy,heat_i,,0.271
dheat_resins,energy,heat_i,,0.271
dheat_steel,energy,heat_i,,0.271
dri_steel,,,,0
eaf_steel,,,,0.496
electr_NH3,,,3824.857689,0.04
ethanol_to_ethylene_petro,,,1176.470588,0.025
export_NFert,,,500,0
export_NH3,,,500,0
export_aluminum,,,500,0
export_petro,,,250,0
export_steel,,,,0
fc_h2_aluminum,energy,h2_fc_I,,0
fc_h2_cement,energy,h2_fc_I,,0
fc_h2_petro,energy,h2_fc_I,,0
fc_h2_refining,energy,h2_fc_I,,0
fc_h2_resins,energy,h2_fc_I,,0
fc_h2_steel,energy,h2_fc_I,,0
feedstock_t/d,,,,
finishing_aluminum,,,,
finishing_steel,,,,0.1
fueloil_NH3,energy,igcc,3282.261598,0.036
fueloil_NH3_ccs,energy,igcc_ccs,3473.019614,0.038
furnace_biomass_aluminum,energy,biomass_i,,0.267
furnace_biomass_cement,energy,biomass_i,,0.267
furnace_biomass_petro,energy,biomass_i,,0.267
furnace_biomass_refining,energy,biomass_i,,0.267
furnace_biomass_resins,energy,biomass_i,,0.267
furnace_biomass_steel,energy,biomass_i,,0.267
furnace_coal_aluminum,energy,coal_i,,0.398
furnace_coal_cement,energy,coal_i,,0.398
furnace_coal_petro,energy,coal_i,,0.398
furnace_coal_refining,energy,coal_i,,0.398
furnace_coal_resins,energy,coal_i,,0.398
furnace_coal_steel,energy,coal_i,,0.398
furnace_coke_petro,energy,coal_i,,0.398
furnace_coke_refining,energy,coal_i,,0.398
furnace_elec_aluminum,energy,elec_i,,0.271
furnace_elec_cement,energy,elec_i,,0.271
