# Data on the first year technologies begin to start being operable
#
# This data was directly copied from the "NAM_SSP2" sheet in https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/SSP1_techinput.xlsx
message_technology,first_year_original
coal_ppl,2005
gas_ppl,2005
gas_ct,2005
gas_cc,2005
bio_ppl,2005
coal_adv,2010
igcc,2010
bio_istig,2010
coal_adv_ccs,2030
igcc_ccs,2030
gas_cc_ccs,2030
bio_istig_ccs,2030
syn_liq,2020
meth_coal,2020
syn_liq_ccs,2030
meth_coal_ccs,2030
h2_coal,2010
h2_smr,2010
h2_bio,2020
h2_coal_ccs,2030
h2_smr_ccs,2030
h2_bio_ccs,2030
eth_bio,2005
eth_bio_ccs,2030
c_ppl_co2scr,2030
g_ppl_co2scr,2030
bio_ppl_co2scr,2030
wind_ppl,2020
wind_ppf,2020
solar_th_ppl,2005
solar_pv_I,2005
solar_pv_RC,2005
solar_pv_ppl,2020
geo_ppl,2005
hydro_lc,2005
hydro_hc,2005
meth_ng,2020
meth_ng_ccs,2030
coal_ppl_u,2005
stor_ppl,2005
h2_elec,2010
liq_bio,2020
liq_bio_ccs,2030
coal_i,1985
foil_i,1985
loil_i,1985
gas_i,1985
biomass_i,1985
eth_i,2010
meth_i,2010
elec_i,1985
h2_i,2030
hp_el_i,2010
hp_gas_i,2010
solar_i,2010
heat_i,1985
geo_hpl,1986
nuc_lc,2005
nuc_hc,2005
csp_sm1_ppl,2010
csp_sm3_ppl,2010
