# The base year costs and WEO mappings are taken from the following file: 
# https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/doc/NAM_technology_cost_input_20200507.xlsx
message_technology,map_source,map_technology,base_year_reference_region_cost
bio_hpl,weo,igcc,275
bio_istig,weo,igcc,4064
bio_istig_ccs,weo,igcc_ccs,5883
bio_ppl,weo,bioenergy_large,2025
bio_ppl_co2scr,weo,igcc_ccs,1466
biomass_i,weo,bioenergy_medium_chp,250
c_ppl_co2scr,weo,pulverized_coal_ccs,1222
coal_adv,weo,steam_coal_supercritical,1701
coal_adv_ccs,weo,pulverized_coal_ccs,4536
coal_gas,weo,steam_coal_subcritical,850
coal_hpl,weo,steam_coal_subcritical,275
coal_i,weo,ccgt_chp,170
coal_ppl,weo,steam_coal_subcritical,1458
coal_ppl_u,weo,steam_coal_subcritical,1016
csp_sm1_ppl,weo,csp,4609
csp_sm3_ppl,weo,csp,9932
elec_i,weo,ccgt_chp,50
eth_bio,weo,igcc,2614
eth_bio_ccs,weo,igcc_ccs,3941
eth_i,weo,bioenergy_medium_chp,93
foil_hpl,weo,ccgt_chp,155
foil_i,weo,ccgt_chp,107
foil_ppl,weo,ccgt_chp,730
g_ppl_co2scr,weo,ccgt_ccs,751
gas_bio,weo,bioenergy_large,670
gas_cc,weo,ccgt,810
gas_cc_ccs,weo,ccgt_ccs,2511
gas_ct,weo,gas_turbine,405
gas_hpl,weo,ccgt,95
gas_i,weo,ccgt_chp,97
gas_ppl,weo,gas_turbine,1205
geo_hpl,weo,geothermal,1500
geo_ppl,weo,geothermal,2928
h2_bio,weo,igcc,3744
h2_bio_ccs,weo,igcc_ccs,3824
h2_coal,weo,igcc,2163
h2_coal_ccs,weo,igcc_ccs,2252
h2_elec,weo,csp,1139
h2_fc_I,weo,igcc,3500
h2_fc_RC,weo,igcc,3500
h2_fc_trp,weo,igcc,3500
h2_i,weo,ccgt_chp,97
h2_liq,weo,igcc,820
h2_smr,weo,igcc,737
h2_smr_ccs,weo,igcc_ccs,1361
heat_i,weo,ccgt_chp,50
hp_el_i,weo,ccgt_chp,800
hp_gas_i,weo,ccgt_chp,880
hydro_hc,weo,hydropower_small,3280
hydro_lc,weo,hydropower_large,2187
igcc,weo,igcc,2106
igcc_ccs,weo,igcc_ccs,4819
liq_bio,weo,igcc,4264
liq_bio_ccs,weo,igcc_ccs,4344
loil_cc,weo,igcc,800
loil_i,weo,ccgt_chp,93
loil_ppl,weo,igcc,600
meth_coal,weo,igcc,2348
meth_coal_ccs,weo,igcc_ccs,2385
meth_i,weo,bioenergy_medium_chp,93
meth_ng,weo,igcc,1234
meth_ng_ccs,weo,igcc_ccs,1339
nuc_hc,weo,nuclear,5000
nuc_lc,weo,nuclear,3800
solar_i,weo,solarpv_buildings,737
solar_pv_I,weo,solarpv_buildings,1189
solar_pv_ppl,weo,solarpv_large,1189
solar_pv_RC,weo,solarpv_buildings,1189
solar_th_ppl,weo,csp,969
stor_ppl,weo,csp,800
syn_liq,weo,igcc,3224
syn_liq_ccs,weo,igcc_ccs,3268
wind_ppf,weo,wind_offshore,5855
wind_ppl,weo,wind_onshore,1181
