Region,technology,parameter,Unit,value,availability,Description,Source
all,dheat_steel,capacity_factor,,0.65,2030,,
all,furnace_biomass_steel,capacity_factor,,0.65,1980,,
all,furnace_coal_steel,capacity_factor,,0.65,1980,,
all,furnace_elec_steel,capacity_factor,,0.65,1980,,
all,furnace_ethanol_steel,capacity_factor,,0.65,1980,,
all,furnace_foil_steel,capacity_factor,,0.65,1980,,
all,furnace_gas_steel,capacity_factor,,0.65,1980,,
all,furnace_h2_steel,capacity_factor,,0.65,2030,,
all,furnace_loil_steel,capacity_factor,,0.65,1980,,
all,furnace_methanol_steel,capacity_factor,,0.65,2020,,
all,hp_elec_steel,capacity_factor,,0.65,1980,,
all,solar_steel,capacity_factor,,0.65,2030,,
all,fc_h2_steel,capacity_factor,,0.85,2030,,
all,furnace_coal_steel,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_gas_steel,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,dheat_steel,fix_cost,MUS2005/GW,7.5,1980,,MESSAGE global model
all,fc_h2_steel,fix_cost,MUS2005/GW,0.0,2030,,MESSAGE global model
all,furnace_biomass_steel,fix_cost,MUS2005/GW,41.17,1980,,MESSAGE global model
all,furnace_coal_steel,fix_cost,MUS2005/GW,37.5,1980,,MESSAGE global model
all,furnace_elec_steel,fix_cost,MUS2005/GW,7.5,1980,,MESSAGE global model
all,furnace_gas_steel,fix_cost,MUS2005/GW,11.25,1980,,MESSAGE global model
all,furnace_ethanol_steel,fix_cost,MUS2005/GW,9.5,1980,,MESSAGE global model
all,furnace_foil_steel,fix_cost,MUS2005/GW,18.75,1980,,MESSAGE global model
all,furnace_h2_steel,fix_cost,MUS2005/GW,11.25,2030,,MESSAGE global model
all,furnace_loil_steel,fix_cost,MUS2005/GW,11.25,1980,,MESSAGE global model
all,furnace_methanol_steel,fix_cost,MUS2005/GW,9.5,2020,,MESSAGE global model
all,hp_elec_steel,fix_cost,MUS2005/GW,67.5,1980,,MESSAGE global model
all,solar_steel,fix_cost,MUS2005/GW,22.67,1980,,MESSAGE global model
all,dheat_steel,input|d_heat|final|low_temp,GWa,1.0,1980,,MESSAGE Global model
all,furnace_biomass_steel,input|biomass|final|high_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_biomass_steel,input|biomass|final|low_temp,GWa,2.105653409090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_steel,input|coal|final|high_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_coal_steel,input|coal|final|low_temp,GWa,2.183465909090909,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_steel,input|electr|final|high_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_elec_steel,input|electr|final|low_temp,GWa,1.3251704545454548,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_ethanol_steel,input|ethanol|final|low_temp,GWa,1.4925852272727271,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,fc_h2_steel,input|hydrogen|final|low_temp,GWa,2.564,2030,,MESSAGE Global model
all,furnace_ethanol_steel,input|ethanol|final|high_temp,GWa,1.4925852272727271,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_steel,input|fueloil|final|low_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_foil_steel,input|fueloil|final|high_temp,GWa,1.8710369318181819,1980, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,furnace_gas_steel,input|gas|final|high_temp,GWa,1.66,1980,The efficiency is used as a basis of calcualtion for other furnaces. 60% efficiency chosen. ,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
