Region,technology,parameter,Unit,value,availability,Description,Source,Unnamed: 8
R11_CPA,atm_distillation_ref,input|crudeoil|secondary|M1,GWyr/GWyr,1.0,1980.0,16076 m3/day,PRELIM model,
R11_CPA,atm_distillation_ref,input|ht_heat|secondary|M1,GWyr/GWyr,0.01249,1980.0,Unit is GJ/GJ in IKARUS,IKARUS,
R11_CPA,atm_distillation_ref,output|naphtha|pre_intermediate|M1,GWyr/GWyr,0.016563383763273428,1980.0,266.26 m3/day IKARUS model has less atmospheric resiude and more of other fuel fractions ,PRELIM model,
R11_CPA,atm_distillation_ref,output|kerosene|pre_intermediate|M1,GWyr/GWyr,0.08424264706775993,1980.0,1354.22 m3/day,PRELIM model,
R11_CPA,atm_distillation_ref,output|diesel|pre_intermediate|M1,GWyr/GWyr,0.06984269064903466,1980.0,1122.73 m3/day,PRELIM model,
R11_CPA,atm_distillation_ref,output|atm_residue|pre_intermediate|M1,GWyr/GWyr,0.6857876609630154,1980.0,11432 m3/day,PRELIM model,
R11_CPA,atm_distillation_ref,output|refinery_gas|intermediate|M1,GWyr/GWyr,0.005,1980.0,This is not included in PRELIM. To include this other shares of outputs are adjsuted,IKARUS,
R11_CPA,atm_distillation_ref,output|atm_gasoil|pre_intermediate|M1,GWyr/GWyr,0.1260736175569168,1980.0,2027 m3/day. IKARUS does not inlcude this. Thats why PRELIM is used,PRELIM model,
R11_CPA,vacuum_distillation_ref,input|atm_residue|pre_intermediate|M1,GWyr/GWyr,1.0,1980.0,,PRELIM model,
R11_CPA,vacuum_distillation_ref,input|ht_heat|secondary|M1,GWyr/GWyr,0.01297,1980.0,Unit is GJ/GJ in IKARUS,IKARUS,
R11_CPA,vacuum_distillation_ref,output|vacuum_gasoil|pre_intermediate|M1,GWyr/GWyr,0.37063768369489153,1980.0,,PRELIM model,
R11_CPA,vacuum_distillation_ref,output|vacuum_residue|pre_intermediate|M1,GWyr/GWyr,0.629360566829951,1980.0,,PRELIM model,
R11_CPA,hydrotreating_ref,input|atm_gasoil|pre_intermediate|atm_gasoil,GWyr/GWyr,1.0,1980.0,For the moment the details about this process is not added. Will be later added in connection with GAINS model.,,
R11_CPA,hydrotreating_ref,output|atm_gasoil|desulfurized|atm_gasoil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,feedstock_t/d,input|atm_gasoil|desulfurized|atm_gasoil,,1.0,1980.0,,,
R11_CPA,feedstock_t/d,output|atm_gasoil|final|atm_gasoil,,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,input|atm_residue|pre_intermediate|atm_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,output|atm_residue|desulfurized|atm_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,input|vacuum_gasoil|pre_intermediate|vacuum_gasoil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,output|vacuum_gasoil|desulfurized|vacuum_gasoil,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,feedstock_t/d,input|vacuum_gasoil|desulfurized|vacuum_gasoil,,1.0,1980.0,,,
R11_CPA,feedstock_t/d,output|vacuum_gasoil|final|vacuum_gasoil,,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,input|vacuum_residue|pre_intermediate|vacuum_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,output|vacuum_residue|desulfurized|vacuum_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,input|naphtha|pre_intermediate|naphtha,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,output|naphtha|desulfurized|naphtha,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,feedstock_t/d,input|naphtha|desulfurized|naphtha,,1.0,1980.0,,,
R11_CPA,feedstock_t/d,output|naphtha|final|naphtha,,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,input|kerosene|pre_intermediate|kerosene,GWyr/GWyr,1.0,1980.0,Kerosene and diesel can also go into desulfurization process.,,
R11_CPA,hydrotreating_ref,output|kerosene|desulfurized|kerosene,GWyr/GWyr,1.0,1980.0,Diesel and kerosene can be later used in blending etc.?,,
R11_CPA,hydrotreating_ref,input|diesel|pre_intermediate|diesel,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,hydrotreating_ref,output|diesel|desulfurized|diesel,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,catalytic_cracking_ref,input|atm_gasoil|desulfurized|atm_gasoil,GWyr/GWyr,1.0,1980.0,There are two differnet modes in IKARUS. The other mode has a higher gasoline share. Here only one is added for now. ,IKARUS,
R11_CPA,catalytic_cracking_ref,input|vacuum_gasoil|desulfurized|vacuum_gasoil,GWyr/GWyr,1.0,1980.0,There are two differnet modes in IKARUS. The other mode has a higher gasoline share. Here only one is added for now. ,IKARUS,
R11_CPA,catalytic_cracking_ref,input|ht_heat|secondary|atm_gasoil,GWyr/GWyr,0.05189,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,input|ht_heat|secondary|vacuum_gasoil,GWyr/GWyr,0.05189,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,output|gasoline|intermediate|atm_gasoil,GWyr/GWyr,0.39,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,output|refinery_gas|intermediate|atm_gasoil,GWyr/GWyr,0.05055,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,output|heavy_foil|intermediate|atm_gasoil,GWyr/GWyr,0.06496,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,output|light_foil|intermediate|atm_gasoil,GWyr/GWyr,0.4941,1980.0,,IKARUS,
R11_CPA,catalytic_cracking_ref,output|gasoline|intermediate|vacuum_gasoil,GWyr/GWyr,0.39,,,,
R11_CPA,catalytic_cracking_ref,output|refinery_gas|intermediate|vacuum_gasoil,GWyr/GWyr,0.05055,,,,
R11_CPA,catalytic_cracking_ref,output|heavy_foil|intermediate|vacuum_gasoil,GWyr/GWyr,0.06496,,,,
R11_CPA,catalytic_cracking_ref,output|light_foil|intermediate|vacuum_gasoil,GWyr/GWyr,0.4941,,,,
R11_CPA,visbreaker_ref,input|vacuum_residue|desulfurized|M1,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,visbreaker_ref,input|ht_heat|secondary|M1,GWyr/GWyr,0.01555,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,output|refinery_gas|intermediate|M1,GWyr/GWyr,0.03343,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,output|naphtha|intermediate|M1,GWyr/GWyr,0.06279,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,output|heavy_foil|intermediate|M1,GWyr/GWyr,0.75996,1980.0,,IKARUS,
R11_CPA,visbreaker_ref,output|light_foil|intermediate|M1,GWyr/GWyr,0.14381,1980.0,,IKARUS,
R11_CPA,coking_ref,input|vacuum_residue|pre_intermediate|M1,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,coking_ref,input|ht_heat|secondary|M1,GWyr/GWyr,0.02905,1980.0,,IKARUS,
R11_CPA,coking_ref,output|pet_coke|intermediate|M1,GWyr/GWyr,0.23309,1980.0,,IKARUS,
R11_CPA,coking_ref,output|light_foil|intermediate|M1,GWyr/GWyr,0.24222,1980.0,,IKARUS,
R11_CPA,coking_ref,output|naphtha|intermediate|M1,GWyr/GWyr,0.18482,1980.0,,IKARUS,
R11_CPA,coking_ref,output|refinery_gas|intermediate|M1,GWyr/GWyr,0.1388,1980.0,,IKARUS,
R11_CPA,coking_ref,output|vacuum_gasoil|pre_intermediate|M1,GWyr/GWyr,0.20107,1980.0,,IKARUS,
