# Variable cost of non-LDV transport technologies
#
# Source:
# - Extracted from GEAM_TRP_techinput.xlsx
# - "source" index entries indicate:
#   - "IKARUS": IKARUS transport model
#   - "Krey/Linßen": "Diss Krey 2006" and "Linßen u.a. 2003"
#
# Unit: EUR_2000 / (100 vehicle km)
#
source,technology,commodity,year,value
IKARUS,tram,electr,2000,403.0
IKARUS,tram,electr,2005,423.0
IKARUS,tram,electr,2010,444.0
IKARUS,tram,electr,2015,444.0
IKARUS,tram,electr,2020,488.0
IKARUS,tram,electr,2025,488.0
IKARUS,tram,electr,2030,537.0
IKARUS,tram efficient,electr,2005,423.0
IKARUS,tram efficient,electr,2010,444.0
IKARUS,tram efficient,electr,2015,444.0
IKARUS,tram efficient,electr,2020,488.0
IKARUS,tram efficient,electr,2025,488.0
IKARUS,tram efficient,electr,2030,537.0
IKARUS,commuter train diesel,diesel,2000,171.0
IKARUS,commuter train diesel,diesel,2005,180.0
IKARUS,commuter train diesel,diesel,2010,189.0
IKARUS,commuter train diesel,diesel,2015,199.0
IKARUS,commuter train diesel,diesel,2020,210.0
IKARUS,commuter train diesel,diesel,2025,220.0
IKARUS,commuter train diesel,diesel,2030,229.0
IKARUS,commuter train diesel efficient,diesel,2000,168.0
IKARUS,commuter train diesel efficient,diesel,2005,176.0
IKARUS,commuter train diesel efficient,diesel,2010,185.0
IKARUS,commuter train diesel efficient,diesel,2015,192.0
IKARUS,commuter train diesel efficient,diesel,2020,200.0
IKARUS,commuter train diesel efficient,diesel,2025,209.0
IKARUS,commuter train diesel efficient,diesel,2030,218.0
IKARUS,commuter train electric,electr,2000,165.0
IKARUS,commuter train electric,electr,2005,173.0
IKARUS,commuter train electric,electr,2010,181.0
IKARUS,commuter train electric,electr,2015,190.0
IKARUS,commuter train electric,electr,2020,200.0
IKARUS,commuter train electric,electr,2025,210.0
IKARUS,commuter train electric,electr,2030,220.0
IKARUS,commuter train electric efficient,electr,2000,165.0
IKARUS,commuter train electric efficient,electr,2005,173.0
IKARUS,commuter train electric efficient,electr,2010,181.0
IKARUS,commuter train electric efficient,electr,2015,190.0
IKARUS,commuter train electric efficient,electr,2020,200.0
IKARUS,commuter train electric efficient,electr,2025,210.0
IKARUS,commuter train electric efficient,electr,2030,220.0
IKARUS,regional train diesel,diesel,2000,173.0
IKARUS,regional train diesel,diesel,2005,181.0
IKARUS,regional train diesel,diesel,2010,190.0
IKARUS,regional train diesel,diesel,2015,200.0
IKARUS,regional train diesel,diesel,2020,209.0
IKARUS,regional train diesel,diesel,2025,219.0
IKARUS,regional train diesel,diesel,2030,229.0
IKARUS,regional train diesel efficient,diesel,2000,168.0
