# Input energy intensity of non-LDV transport technologies
#
# Source:
# - Extracted from GEAM_TRP_techinput.xlsx
# - "source" index entries indicate:
#   - "IKARUS": IKARUS transport model
#   - "Krey/Linßen": "Diss Krey 2006" and "Linßen u.a. 2003"
#
# Unit: GJ / (100 vehicle km)
#
# Note: the "Krey/Linßen" entries do not state these units, instead including
# e.g. "CNG" in the "unit" column. The units are assumed to be the same.
#
source,technology,commodity,year,value
IKARUS,tram,electr,2000,1.94
IKARUS,tram,electr,2005,1.92
IKARUS,tram,electr,2010,1.88
IKARUS,tram,electr,2015,1.88
IKARUS,tram,electr,2020,1.84
IKARUS,tram,electr,2025,1.84
IKARUS,tram,electr,2030,1.8
IKARUS,tram efficient,electr,2005,1.64
IKARUS,tram efficient,electr,2010,1.6
IKARUS,tram efficient,electr,2015,1.6
IKARUS,tram efficient,electr,2020,1.57
IKARUS,tram efficient,electr,2025,1.57
IKARUS,tram efficient,electr,2030,1.54
IKARUS,commuter train diesel,diesel,2000,3.69
IKARUS,commuter train diesel,diesel,2005,3.64
IKARUS,commuter train diesel,diesel,2010,3.58
IKARUS,commuter train diesel,diesel,2015,3.56
IKARUS,commuter train diesel,diesel,2020,3.53
IKARUS,commuter train diesel,diesel,2025,3.38
IKARUS,commuter train diesel,diesel,2030,3.24
IKARUS,commuter train diesel efficient,diesel,2000,2.9
IKARUS,commuter train diesel efficient,diesel,2005,2.84
IKARUS,commuter train diesel efficient,diesel,2010,2.77
IKARUS,commuter train diesel efficient,diesel,2015,2.57
IKARUS,commuter train diesel efficient,diesel,2020,2.37
IKARUS,commuter train diesel efficient,diesel,2025,2.26
IKARUS,commuter train diesel efficient,diesel,2030,2.14
IKARUS,commuter train electric,electr,2000,3.58
IKARUS,commuter train electric,electr,2005,3.51
IKARUS,commuter train electric,electr,2010,3.4
IKARUS,commuter train electric,electr,2015,3.31
IKARUS,commuter train electric,electr,2020,3.22
IKARUS,commuter train electric,electr,2025,3.13
IKARUS,commuter train electric,electr,2030,3.04
IKARUS,commuter train electric efficient,electr,2000,3.06
IKARUS,commuter train electric efficient,electr,2005,3.01
IKARUS,commuter train electric efficient,electr,2010,2.92
IKARUS,commuter train electric efficient,electr,2015,2.84
IKARUS,commuter train electric efficient,electr,2020,2.76
IKARUS,commuter train electric efficient,electr,2025,2.68
IKARUS,commuter train electric efficient,electr,2030,2.6
IKARUS,regional train diesel,diesel,2000,7.36
IKARUS,regional train diesel,diesel,2005,6.96
IKARUS,regional train diesel,diesel,2010,6.79
IKARUS,regional train diesel,diesel,2015,6.62
IKARUS,regional train diesel,diesel,2020,6.45
