# Investment/capital cost of non-LDV transport technologies
#
# Source:
# - Extracted from GEAM_TRP_techinput.xlsx
# - "source" index entries indicate:
#   - "IKARUS": IKARUS transport model
#   - "Krey/Linßen": "Diss Krey 2006" and "Linßen u.a. 2003"
#
# Unit: MEUR_2000
#
source,technology,commodity,year,value
IKARUS,tram,electr,2000,1.74
IKARUS,tram,electr,2005,1.86
IKARUS,tram,electr,2010,1.94
IKARUS,tram,electr,2015,1.94
IKARUS,tram,electr,2020,2.2
IKARUS,tram,electr,2025,2.2
IKARUS,tram,electr,2030,2.48
IKARUS,tram efficient,electr,2005,2.19
IKARUS,tram efficient,electr,2010,2.31
IKARUS,tram efficient,electr,2015,2.31
IKARUS,tram efficient,electr,2020,2.61
IKARUS,tram efficient,electr,2025,2.61
IKARUS,tram efficient,electr,2030,2.94
IKARUS,commuter train diesel,diesel,2000,1.68
IKARUS,commuter train diesel,diesel,2005,1.86
IKARUS,commuter train diesel,diesel,2010,2.06
IKARUS,commuter train diesel,diesel,2015,2.26
IKARUS,commuter train diesel,diesel,2020,2.47
IKARUS,commuter train diesel,diesel,2025,2.68
IKARUS,commuter train diesel,diesel,2030,2.9
IKARUS,commuter train diesel efficient,diesel,2000,1.9
IKARUS,commuter train diesel efficient,diesel,2005,2.11
IKARUS,commuter train diesel efficient,diesel,2010,2.32
IKARUS,commuter train diesel efficient,diesel,2015,2.52
IKARUS,commuter train diesel efficient,diesel,2020,2.73
IKARUS,commuter train diesel efficient,diesel,2025,2.96
IKARUS,commuter train diesel efficient,diesel,2030,3.19
IKARUS,commuter train electric,electr,2000,1.87
IKARUS,commuter train electric,electr,2005,2.07
IKARUS,commuter train electric,electr,2010,2.27
IKARUS,commuter train electric,electr,2015,2.5
IKARUS,commuter train electric,electr,2020,2.72
IKARUS,commuter train electric,electr,2025,2.95
IKARUS,commuter train electric,electr,2030,3.18
IKARUS,commuter train electric,electr,2070,2.78
IKARUS,commuter train electric efficient,electr,2000,1.62
IKARUS,commuter train electric efficient,electr,2005,1.84
IKARUS,commuter train electric efficient,electr,2010,2.03
IKARUS,commuter train electric efficient,electr,2015,2.21
IKARUS,commuter train electric efficient,electr,2020,2.39
IKARUS,commuter train electric efficient,electr,2025,2.59
IKARUS,commuter train electric efficient,electr,2030,2.79
IKARUS,regional train diesel,diesel,2000,1.75
IKARUS,regional train diesel,diesel,2005,1.93
IKARUS,regional train diesel,diesel,2010,2.13
IKARUS,regional train diesel,diesel,2015,2.34
IKARUS,regional train diesel,diesel,2020,2.54
IKARUS,regional train diesel,diesel,2025,2.76
IKARUS,regional train diesel,diesel,2030,2.98
IKARUS,regional train diesel efficient,diesel,2000,1.96
IKARUS,regional train diesel efficient,diesel,2005,2.27
IKARUS,regional train diesel efficient,diesel,2010,2.45
IKARUS,regional train diesel efficient,diesel,2015,2.7
IKARUS,regional train diesel efficient,diesel,2020,2.94
IKARUS,regional train diesel efficient,diesel,2025,3.21
IKARUS,regional train diesel efficient,diesel,2030,3.49
IKARUS,regional train electric,electr,2000,1.93
IKARUS,regional train electric,electr,2005,2.13
IKARUS,regional train electric,electr,2010,2.36
IKARUS,regional train electric,electr,2015,2.6
IKARUS,regional train electric,electr,2020,2.83
IKARUS,regional train electric,electr,2025,3.08
