Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Africa,,1965,0,0,0,0,38.626762,0,9.57193,323.49615,341.07257
Africa,,1966,0,0,0,0,43.083344,0,10.6980915,323.12222,369.46457
Africa,,1967,0,0,0,0,44.973988,0,10.573844,330.2916,368.28156
Africa,,1968,0,0,0,0,52.606503,0,10.717145,343.51288,389.57162
Africa,,1969,0,0,0,0,61.391357,0,12.520175,346.64288,397.3726
Africa,,1970,0,0,0,0,76.75119,0,15.5485,360.75693,434.28757
Africa,,1971,0.5125,0,0,0,72.259415,0,18.405264,383.0123,472.22516
Africa,,1972,0.515625,0,0,0,82.31443,0,24.670658,384.21082,509.09583
Africa,,1973,0.53125,0,0,0,87.0714,0,39.551792,408.91034,549.6427
Africa,,1974,0.546875,0,0,0,99.07521,0,44.518486,425.6462,570.538
Africa,,1975,0.5375,0,0,0,104.77214,0,53.63838,451.0805,598.6075
Africa,,1976,0.578125,0,0,0,116.10454,0,60.98139,481.07416,651.3652
Africa,,1977,0.590625,0,0,0,127.57991,0,68.23419,491.69846,692.9117
Africa,,1978,0.609375,0,0,0,128.63037,0,97.369896,477.8156,730.7279
Africa,,1979,0.628125,0,0,0,137.6812,0,148.84282,507.24698,770.22455
Africa,,1980,0.646875,0,0,0,134.19939,0,186.91397,543.55707,818.9584
Africa,,1981,0.68125,0,0,0,139.42473,0,228.49115,635.79877,887.7277
Africa,,1982,0.7375,0,0,0,139.46176,0,246.73354,701.17584,930.6774
Africa,,1983,0.71875,0,0,0,125.686554,0,271.27536,713.2461,964.2179
Africa,,1984,0.73125,0,0,0,123.58326,10.902778,259.9028,762.8979,978.6124
Africa,,1985,0.840625,0,0,0,137.36023,14.763888,278.84274,787.1659,1003.6883
Africa,,1986,2.059375,0,0,0,142.07048,24.452778,313.27118,805.356,979.9832
