tec,incmd,inlvl,outcmd,outlvl,value_low,value_mid,value_high,capacity_factor_low,capacity_factor_mid,capacity_factor,investment_low_high,Likely Units,investment_mid,investment_high,technical_lifetime_low,technical_lifetime_mid,technical_lifetime_high,fix_cost_low,Likely Units.1,fix_cost_mid,fix_cost_high,var_cost_low,var_cost_mid,var_cost_high,out_value_low,out_value_mid,out_value_high,recovery_rate_low,recovery_rate_mid,recovery_rate_high
extract_groundwater,,,,,,,,,,,,,,,15.0,20.0,25.0,,,,,,,,,,,,,
extract_surfacewater,,,,,,,,,,,,,,,40.0,50.0,60.0,,,,,,,,,,,,,
rural_discharge,rural_collected_wst,water_treat,,,1.0,1.0,1.0,1.0,1.0,1.0,660.0,USD/(m³/day),2080.0,3560.0,30.0,25.0,20.0,66.0,USD/(m³/day)/yr,208.0,356.0,0.0,0.0,0.0,0.97,0.95,0.9,0.0,0.0,0.0
rural_discharge,electr,final,,,0.0,0.01484018,0.02968037,,,,,,,,,,,,,,,,,,,,,,,
rural_recycle,rural_collected_wst,water_treat,freshwater_basin,water_supply_basin,1.0,1.0,1.0,0.95,0.9,0.85,495.0,USD/(m³/day),1560.0,2670.0,40.0,30.0,25.0,49.5,USD/(m³/day)/yr,156.0,267.0,0.0,0.0,0.0,0.9,0.8,0.7,0.0,0.0,0.0
rural_sewerage,electr,final,,,0.00197869,0.04303653,0.08409437,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
rural_sewerage,rural_collected_wst,final,rural_collected_wst,water_treat,1.0,1.0,1.0,1.0,1.0,1.0,870.2054794520549,USD/(m³/day),1613.8356164383563,2278.3561643835615,50.0,40.0,30.0,217.55136986301372,USD/(m³/day)/yr,403.45890410958907,569.5890410958904,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
rural_t_d,freshwater_basin,water_supply_basin,rural_mw,final,1.0,1.0,1.0,1.0,1.0,1.0,666.027397260274,USD/(m³/day),901.095890410959,2154.7945205479455,30.0,20.0,10.0,33.301369863013704,USD/(m³/day)/yr,45.05479452054795,107.73972602739728,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
rural_t_d,electr,final,,,0.00228311,0.19178082,0.38127854,,,,,,,,,,,,,,,,,,,,,,,
rural_unconnected,freshwater_basin,water_supply_basin,rural_disconnected,final,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
rural_untreated,rural_uncollected_wst,final,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
urban_discharge,urban_collected_wst,water_treat,,,1.0,1.0,1.0,0.95,0.9,0.85,303.0,USD/(m³/day),429.0,627.0,40.0,30.0,25.0,21.0,USD/(m³/day)/yr,35.0,67.0,0.0,0.0,0.0,0.95,0.9,0.85,0.0,0.0,0.0
