message_technology,SSP1,SSP2,SSP3,SSP4,SSP5,LED
coal_ppl,medium,medium,high,medium,medium,low
gas_ppl,high,medium,low,medium,high,medium
gas_ct,high,medium,low,medium,high,medium
gas_cc,high,medium,low,medium,high,medium
bio_ppl,high,medium,low,high,medium,medium
coal_adv,medium,medium,high,medium,medium,low
igcc,medium,medium,high,medium,medium,medium
bio_istig,high,medium,low,high,medium,medium
coal_adv_ccs,medium,medium,low,high,high,medium
igcc_ccs,medium,medium,low,high,high,medium
gas_cc_ccs,medium,medium,low,high,high,medium
bio_istig_ccs,medium,medium,low,high,high,medium
syn_liq,medium,medium,high,medium,medium,medium
meth_coal,medium,medium,high,medium,medium,medium
syn_liq_ccs,medium,medium,low,high,high,medium
meth_coal_ccs,medium,medium,low,high,high,medium
h2_coal,medium,medium,high,medium,medium,medium
h2_smr,high,medium,low,medium,high,medium
h2_bio,high,medium,low,high,medium,medium
h2_coal_ccs,medium,medium,low,high,high,medium
h2_smr_ccs,medium,medium,low,high,high,medium
h2_bio_ccs,medium,medium,low,high,high,medium
eth_bio,high,medium,low,high,medium,medium
eth_bio_ccs,medium,medium,low,high,high,medium
c_ppl_co2scr,medium,medium,low,high,high,medium
g_ppl_co2scr,medium,medium,low,high,high,medium
bio_ppl_co2scr,medium,medium,low,high,high,medium
wind_ppl,high,medium,low,high,medium,very_high
wind_ppf,low,low,low,low,low,low
solar_th_ppl,high,medium,low,high,medium,very_high
solar_pv_I,high,medium,low,high,medium,very_high
solar_pv_RC,high,medium,low,high,medium,very_high
solar_pv_ppl,high,medium,low,high,medium,very_high
geo_ppl,high,medium,low,high,medium,medium
hydro_lc,high,medium,low,high,medium,medium
hydro_hc,high,medium,low,high,medium,medium
meth_ng,high,medium,low,medium,high,medium
meth_ng_ccs,medium,medium,low,high,high,medium
coal_ppl_u,medium,medium,high,medium,medium,medium
stor_ppl,high,medium,low,high,medium,medium
h2_elec,high,medium,low,high,medium,medium
liq_bio,high,medium,low,high,medium,medium
liq_bio_ccs,medium,medium,low,high,high,medium
coal_i,medium,medium,high,medium,medium,medium
foil_i,high,medium,low,medium,high,medium
loil_i,high,medium,low,medium,high,medium
gas_i,high,medium,low,medium,high,medium
biomass_i,high,medium,low,high,medium,medium
eth_i,high,medium,low,high,medium,medium
meth_i,medium,medium,high,medium,medium,medium
elec_i,low,low,low,low,low,low
h2_i,low,low,low,low,low,low
hp_el_i,high,medium,low,high,medium,medium
hp_gas_i,high,medium,low,medium,high,medium
solar_i,high,medium,low,high,medium,medium
heat_i,low,low,low,low,low,low
geo_hpl,high,medium,low,high,medium,medium
nuc_lc,medium,medium,low,high,high,medium
nuc_hc,medium,medium,low,high,high,medium
csp_sm1_ppl,low,low,low,low,low,low
csp_sm3_ppl,low,low,low,low,low,low
