# Cost reduction in 2100,,,,,,
# ,,,,,,
# Units: %  ,,,,,,
#,,,,,,
# Data is copied from Sheet1 in https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/SSP_technology_learning.xlsx,,,,,,
# There are some manually changed assumptions to the original GEA data in the spreadsheet (can be seen in the spreadsheet as marked in yellow),,,,,,
# The initial copied data can be found in gea_reduction_rates.csv,,,,,,
# This file renames the learning rates from GEAL to low and GEAM to medium and GEAH to high,,,,,,
message_technology,technology_type,very_low,low,medium,high,very_high
coal_ppl,Coal,0,0,0.2,0.5,0.7
gas_ppl,Gas/Oil,0.1,0.2,0.29,0.38,0.5
gas_ct,Gas/Oil,0.1,0.2,0.29,0.38,0.5
gas_cc,Gas/Oil,0.1,0.2,0.29,0.38,0.5
bio_ppl,Biomass,0,0.1,0.2,0.3,0.4
coal_adv,Coal,0,0.1,0.3,0.5,0.7
igcc,Coal,0,0.1,0.3,0.5,0.7
bio_istig,Biomass,0,0.1,0.3,0.4,0.5
coal_adv_ccs,CCS,0,0.1,0.3,0.5,0.7
igcc_ccs,CCS,0,0.1,0.3,0.5,0.7
gas_cc_ccs,CCS,0.1,0.2,0.29,0.5,0.7
bio_istig_ccs,CCS,0,0.1,0.3,0.4,0.6
syn_liq,Coal,0,0.05,0.1,0.15,0.2
meth_coal,Coal,0,0.05,0.1,0.15,0.2
syn_liq_ccs,CCS,0,0.05,0.1,0.25,0.3
meth_coal_ccs,CCS,0,0.05,0.1,0.15,0.2
h2_coal,Coal,0,0.25,0.4,0.4,0.5
h2_smr,Gas/Oil,0,0.25,0.4,0.5,0.7
h2_bio,Biomass,0,0.25,0.4,0.5,0.7
h2_coal_ccs,CCS,0,0.25,0.4,0.5,0.7
h2_smr_ccs,CCS,0,0.25,0.4,0.5,0.7
h2_bio_ccs,CCS,0,0.25,0.4,0.5,0.7
eth_bio,Biomass,0,0.27,0.27,0.4,0.55
eth_bio_ccs,CCS,0,0.27,0.27,0.4,0.55
c_ppl_co2scr,CCS,0,0,0,0.3,0.4
g_ppl_co2scr,CCS,0,0,0,0.3,0.4
bio_ppl_co2scr,CCS,0,0,0,0.3,0.4
wind_ppl,Renewable,0.15,0.3,0.53,0.65,0.75
solar_th_ppl,Renewable,0.15,0.3,0.3,0.5,0.7
solar_pv_I,Renewable,0.15,0.3,0.7,0.9,0.95
solar_pv_RC,Renewable,0.15,0.3,0.7,0.9,0.95
solar_pv_ppl,Renewable,0.15,0.3,0.7,0.9,0.95
geo_ppl,Renewable,0,0.1,0.18,0.25,0.35
hydro_lc,Renewable,0,0,0,0,0
hydro_hc,Renewable,0,0,0,0,0
meth_ng,Gas/Oil,0,0.05,0.1,0.15,0.2
meth_ng_ccs,CCS,0,0.05,0.1,0.15,0.2
coal_ppl_u,Coal,0,0,0,0,0
stor_ppl,Renewable,0.1,0.2,0.25,0.4,0.5
h2_elec,Renewable,0,0,0.1,0.2,0.3
liq_bio,Biomass,0.15,0.27,0.27,0.4,0.55
liq_bio_ccs,CCS,0.15,0.27,0.27,0.4,0.55
coal_i,Coal,0,0,0,0,0
foil_i,Gas/Oil,0,0,0,0,0
loil_i,Gas/Oil,0,0,0,0,0
gas_i,Gas/Oil,0,0,0,0,0
biomass_i,Biomass,0,0,0,0,0
eth_i,Biomass,0,0,0,0,0
meth_i,Coal,0,0,0,0,0
elec_i,NA,0,0,0,0,0
h2_i,NA,0,0,0,0,0
hp_el_i,Renewable,0.1,0.2,0.5,0.5,0.6
hp_gas_i,Gas/Oil,0.1,0.2,0.4,0.4,0.5
solar_i,Renewable,0.1,0.2,0.6,0.9,0.95
heat_i,NA,0,0,0,0,0
geo_hpl,Renewable,0.1,0.15,0.18,0.25,0.35
nuc_lc,Nuclear,0,0,0,0,0
nuc_hc,Nuclear,0,0,0.15,0.3,0.45
wind_ppf,NA,0,0,0,0,0
csp_sm1_ppl,NA,0,0,0,0,0
csp_sm3_ppl,NA,0,0,0,0,0
