Variable,Unit,Definition
Activity for GAINS|AGR_ARABLE,million ha,
Activity for GAINS|AGR_BEEF,M animal,
Activity for GAINS|AGR_COWS,M animal,
Activity for GAINS|AGR_OTANI,M animal,
Activity for GAINS|AGR_PIG,M animal,
Activity for GAINS|AGR_POULT,M animal,
Activity for GAINS|FCON_Total_Nfertilizer,kt N,
Activity for GAINS|FOREST,million ha,
Activity for GAINS|GRASSLAND,million ha,
Activity for GAINS|RICE,million ha,
Agricultural Demand,million t DM/yr,
Agricultural Demand|Bioenergy,million t DM/yr,
Agricultural Demand|Crops,million t DM/yr,
Agricultural Demand|Crops|Bioenergy,million t DM/yr,
Agricultural Demand|Crops|Bioenergy|1st Generation,million t DM/yr,
Agricultural Demand|Crops|Bioenergy|2nd generation,million t DM/yr,
Agricultural Demand|Crops|Feed,million t DM/yr,
Agricultural Demand|Crops|Feed|Cereals,million t DM/yr,
Agricultural Demand|Crops|Feed|Oil Crops,million t DM/yr,
Agricultural Demand|Crops|Feed|Other Crops,million t DM/yr,
Agricultural Demand|Crops|Feed|Sugar Crops,million t DM/yr,
Agricultural Demand|Crops|Food,million t DM/yr,
Agricultural Demand|Crops|Food|Cereals,million t DM/yr,
Agricultural Demand|Crops|Food|Oil Crops,million t DM/yr,
Agricultural Demand|Crops|Food|Other Crops,million t DM/yr,
Agricultural Demand|Crops|Food|Sugar Crops,million t DM/yr,
Agricultural Demand|Crops|Other,million t DM/yr,
Agricultural Demand|Energy,million t DM/yr,
Agricultural Demand|Energy|Crops,million t DM/yr,
Agricultural Demand|Energy|Crops|1st generation,million t DM/yr,
Agricultural Demand|Energy|Crops|2nd generation,million t DM/yr,
Agricultural Demand|Livestock,million t DM/yr,
Agricultural Demand|Livestock|Food,million t DM/yr,
Agricultural Demand|Livestock|Other,million t DM/yr,
Agricultural Demand|Non-Energy,million t DM/yr,
Agricultural Demand|Non-Energy|Crops,million t DM/yr,
Agricultural Demand|Non-Energy|Crops|Feed,million t DM/yr,
Agricultural Demand|Non-Energy|Crops|Food,million t DM/yr,
Agricultural Demand|Non-Energy|Crops|Other,million t DM/yr,
Agricultural Demand|Non-Energy|Crops|Other|Waste,million t DM/yr,
Agricultural Demand|Non-Energy|Livestock,million t DM/yr,
Agricultural Demand|Non-Energy|Livestock|Food,million t DM/yr,
Agricultural Demand|Non-Energy|Livestock|Other,million t DM/yr,
Agricultural Demand|Non-Energy|Livestock|Other|Waste,million t DM/yr,
Agricultural Demand|Residues|Bioenergy,million t DM/yr,
Agricultural Production,million t DM/yr,
Agricultural Production|Crops,million t DM/yr,
Agricultural Production|Crops|Cereals,million t DM/yr,
Agricultural Production|Crops|Energy Crops,million t DM/yr,
Agricultural Production|Crops|Oil Crops,million t DM/yr,
Agricultural Production|Crops|Other Crops,million t DM/yr,
Agricultural Production|Crops|Sugar Crops,million t DM/yr,
Agricultural Production|Energy,million t DM/yr,
Agricultural Production|Energy|Crops,million t DM/yr,
Agricultural Production|Energy|Crops|1st generation,million t DM/yr,
Agricultural Production|Energy|Crops|2nd generation,million t DM/yr,
Agricultural Production|Livestock,million t DM/yr,
Agricultural Production|Livestock|Dairy,million t DM/yr,
Agricultural Production|Livestock|Non-Ruminant,million t DM/yr,
Agricultural Production|Livestock|Ruminant,million t DM/yr,
Agricultural Production|Non-Energy,million t DM/yr,
Agricultural Production|Non-Energy|Crops,million t DM/yr,
Agricultural Production|Non-Energy|Crops|Cereals,million t DM/yr,
Agricultural Production|Non-Energy|Livestock,million t DM/yr,
Capacity Additions|Direct Air Capture,tC/yr,Newly installed capacity of direct air capture plants.
Capacity Additions|Direct Air Capture|1,tC/yr,Newly installed capacity of direct air capture plants 1.
Capacity Additions|Direct Air Capture|2,tC/yr,Newly installed capacity of direct air capture plants 2.
Capacity Additions|Electricity,GW/yr,Newly installed capacity of all operating power plants
Capacity Additions|Electricity|Biomass,GW/yr,Newly installed capacity of operating biomass plants
Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,"Newly installed capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/ CCS|1,GW/yr,"Newly installed capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/ CCS|2,GW/yr,
Capacity Additions|Electricity|Biomass|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|1,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|2,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|3,GW/yr,
Capacity Additions|Electricity|Coal,GW/yr,Newly installed capacity of operating coal plants
Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|1,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|2,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Coal|w/ CCS|4,GW/yr,
Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|1,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|2,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|3,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|4,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|5,GW/yr,
Capacity Additions|Electricity|Gas,GW/yr,Newly installed capacity of operating gas plants
Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,"Newly installed capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/ CCS|1,GW/yr,"Newly installed capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/ CCS|2,GW/yr,
Capacity Additions|Electricity|Gas|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|1,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|2,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|3,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Geothermal,GW/yr,Newly installed capacity of operating geothermal plants
Capacity Additions|Electricity|Hydro,GW/yr,"Newly installed capacity of hydroppower plants. The installed (available) capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydro|1, ..., Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Hydro|1,GW/yr,"Newly installed capacity of hydroppower plants. The installed (available) capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydro|1, ..., Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Hydro|2,GW/yr,"Newly installed capacity of hydroppower plants. The installed (available) capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydro|1, ..., Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Nuclear,GW/yr,"Newly installed capacity of nuclear power plants. The installed (available) capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Nuclear|1, ..., Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Nuclear|1,GW/yr,"Newly installed capacity of nuclear power plants. The installed (available) capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Nuclear|1, ..., Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
