Variable,Unit,Definition
Agricultural Demand,million t DM/yr,"total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)"
Agricultural Demand|Energy,million t DM/yr,"agricultural demand level for all bioenergy (consumption, not production)"
Agricultural Demand|Energy|Crops,million t DM/yr,demand for modern primary energy crops (1st and 2nd generation)
Agricultural Demand|Energy|Crops|1st generation,million t DM/yr,demand for modern primary 1st generation energy crops
Agricultural Demand|Energy|Crops|2nd generation,million t DM/yr,demand for modern primary 2nd generation energy crops
Agricultural Demand|Energy|Residues,million t DM/yr,demand of agricultural residues for modern bioenergy production
Agricultural Demand|Non-Energy,million t DM/yr,"total demand for food, non-food and feed products (crops and livestock)"
Agricultural Demand|Non-Energy|Crops,million t DM/yr,"total demand for food, non-food and feed products (crops)"
Agricultural Demand|Non-Energy|Crops|Feed,million t DM/yr,total demand for feed (crops)
Agricultural Demand|Non-Energy|Crops|Food,million t DM/yr,total demand for food (crops)
Agricultural Demand|Non-Energy|Crops|Other,million t DM/yr,total demand for non-food and non-feed (crops)
Agricultural Demand|Non-Energy|Crops|Other|Waste,million t DM/yr,total demand for non-food and non-feed waste (crops)
Agricultural Demand|Non-Energy|Livestock,million t DM/yr,total demand for livestock products
Agricultural Demand|Non-Energy|Livestock|Food,million t DM/yr,total demand for food livestock products
Agricultural Demand|Non-Energy|Livestock|Other,million t DM/yr,total demand for non-food livestock products
Agricultural Demand|Non-Energy|Livestock|Other|Waste,million t DM/yr,total demand for non-food livestock products waste
Agricultural Production,million t DM/yr,"total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)"
Agricultural Production|Energy,million t DM/yr,total bioenergy-related agricultural production (including waste and residues)
Agricultural Production|Energy|Crops,million t DM/yr,production for modern primary energy crops (1st and 2nd generation)
Agricultural Production|Energy|Crops|1st generation,million t DM/yr,production for modern primary 1st generation energy crops
Agricultural Production|Energy|Crops|2nd generation,million t DM/yr,production for modern primary 2nd generation energy crops
Agricultural Production|Energy|Residues,million t DM/yr,production of agricultural residues for modern bioenergy production
Agricultural Production|Non-Energy,million t DM/yr,"total production for food, non-food and feed products (crops and livestock)"
Agricultural Production|Non-Energy|Crops,million t DM/yr,"total production for food, non-food and feed products (crops)"
Agricultural Production|Non-Energy|Crops|Cereals,million t DM/yr,total production for cereals (crops)
Agricultural Production|Non-Energy|Crops|Feed,million t DM/yr,total production for feed (crops)
Agricultural Production|Non-Energy|Crops|Food,million t DM/yr,total production for food (crops)
Agricultural Production|Non-Energy|Crops|Other,million t DM/yr,total production for non-food and non-feed (crops)
Agricultural Production|Non-Energy|Livestock,million t DM/yr,total production for livestock products
Agricultural Production|Non-Energy|Livestock|Food,million t DM/yr,total production for food livestock products
Agricultural Production|Non-Energy|Livestock|Other,million t DM/yr,total production for non-food livestock products
Capacity Additions|Electricity,GW/yr,Newly installed capacity of all operating power plants
Capacity Additions|Electricity|Biomass,GW/yr,Newly installed capacity of operating biomass plants
Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,"Newly installed capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/ CCS|1,GW/yr,"Newly installed capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/ CCS|2,GW/yr,
Capacity Additions|Electricity|Biomass|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|1,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|2,GW/yr,"Newly installed capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Biomass|w/o CCS|3,GW/yr,
Capacity Additions|Electricity|Coal,GW/yr,Newly installed capacity of operating coal plants
Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|1,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|2,GW/yr,"Newly installed capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Coal|w/ CCS|4,GW/yr,
Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|1,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|2,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|3,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|4,GW/yr,"Newly installed capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Coal|w/o CCS|5,GW/yr,
Capacity Additions|Electricity|Gas,GW/yr,Newly installed capacity of operating gas plants
Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,"Newly installed capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/ CCS|1,GW/yr,"Newly installed capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/ CCS|2,GW/yr,
Capacity Additions|Electricity|Gas|w/ CCS|3,GW/yr,
Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|1,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|2,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity Additions|Electricity|Gas|w/o CCS|3,GW/yr,"Newly installed capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
