message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
bio_hpl__air,energy,bio_hpl,220,0,2015
bio_hpl__cl_fresh,energy,bio_hpl,100,0,2015
bio_hpl__ot_fresh,energy,bio_hpl,0.4,0,2015
bio_hpl__ot_saline,energy,bio_hpl,0.3,0,2015
bio_istig__air,energy,bio_istig,220,0,2015
bio_istig__cl_fresh,energy,bio_istig,100,0,2015
bio_istig__ot_fresh,energy,bio_istig,0.4,0,2015
bio_istig__ot_saline,energy,bio_istig,0.3,0,2015
bio_istig_ccs__air,energy,bio_istig,220,0,2015
bio_istig_ccs__cl_fresh,energy,bio_istig,100,0,2015
bio_istig_ccs__ot_fresh,energy,bio_istig,0.4,0,2015
bio_istig_ccs__ot_saline,energy,bio_istig,0.3,0,2015
bio_ppl__air,energy,bio_ppl,220,0,2015
bio_ppl__cl_fresh,energy,bio_ppl,100,0,2015
bio_ppl__ot_fresh,energy,bio_ppl,0.4,0,2015
bio_ppl__ot_saline,energy,bio_ppl,0.3,0,2015
coal_adv__air,energy,coal_adv,220,0,2015
coal_adv__cl_fresh,energy,coal_adv,100,0,2015
coal_adv__ot_fresh,energy,coal_adv,0.4,0,2015
coal_adv__ot_saline,energy,coal_adv,0.3,0,2015
coal_adv_ccs__air,energy,coal_adv,220,0,2015
coal_adv_ccs__cl_fresh,energy,coal_adv,160,0,2015
coal_adv_ccs__ot_fresh,energy,coal_adv,0.4,0,2015
coal_adv_ccs__ot_saline,energy,coal_adv,0.3,0,2015
coal_ppl__air,energy,coal_ppl,220,0,2015
coal_ppl__cl_fresh,energy,coal_ppl,100,0,2015
coal_ppl__ot_fresh,energy,coal_ppl,0.4,0,2015
coal_ppl__ot_saline,energy,coal_ppl,0.3,0,2015
coal_ppl_u__air,energy,coal_ppl_u,220,0,2015
coal_ppl_u__cl_fresh,energy,coal_ppl_u,160,0,2015
coal_ppl_u__ot_fresh,energy,coal_ppl_u,0.4,0,2015
coal_ppl_u__ot_saline,energy,coal_ppl_u,0.3,0,2015
foil_hpl__air,energy,foil_hpl,220,0,2015
foil_hpl__cl_fresh,energy,foil_hpl,100,0,2015
foil_hpl__ot_fresh,energy,foil_hpl,0.4,0,2015
foil_hpl__ot_saline,energy,foil_hpl,0.3,0,2015
foil_ppl__air,energy,foil_ppl,220,0,2015
foil_ppl__cl_fresh,energy,foil_ppl,100,0,2015
foil_ppl__ot_fresh,energy,foil_ppl,0.4,0,2015
foil_ppl__ot_saline,energy,foil_ppl,0.3,0,2015
gas_cc__air,energy,gas_cc,140,0,2015
gas_cc__cl_fresh,energy,gas_cc,50,0,2015
gas_cc__ot_fresh,energy,gas_cc,0.2,0,2015
gas_cc__ot_saline,energy,gas_cc,0.15,0,2015
gas_cc_ccs__air,energy,gas_cc,220,0,2015
gas_cc_ccs__cl_fresh,energy,gas_cc,160,0,2015
gas_cc_ccs__ot_fresh,energy,gas_cc,0.4,0,2015
gas_cc_ccs__ot_saline,energy,gas_cc,0.3,0,2015
gas_hpl__air,energy,gas_hpl,220,0,2015
gas_hpl__cl_fresh,energy,gas_hpl,100,0,2015
gas_hpl__ot_fresh,energy,gas_hpl,0.4,0,2015
gas_hpl__ot_saline,energy,gas_hpl,0.3,0,2015
gas_ppl__air,energy,gas_ppl,220,0,2015
gas_ppl__cl_fresh,energy,gas_ppl,100,0,2015
gas_ppl__ot_fresh,energy,gas_ppl,0.4,0,2015
gas_ppl__ot_saline,energy,gas_ppl,0.3,0,2015
geo_hpl__air,energy,geo_hpl,220,0,2015
geo_hpl__cl_fresh,energy,geo_hpl,100,0,2015
geo_hpl__ot_fresh,energy,geo_hpl,0.4,0,2015
geo_hpl__ot_saline,energy,geo_hpl,0.3,0,2015
geo_ppl__air,energy,geo_ppl,220,0,2015
geo_ppl__cl_fresh,energy,geo_ppl,100,0,2015
geo_ppl__ot_fresh,energy,geo_ppl,0.4,0,2015
geo_ppl__ot_saline,energy,geo_ppl,0.3,0,2015
igcc__air,energy,igcc,140,0,2015
igcc__cl_fresh,energy,igcc,50,0,2015
igcc__ot_fresh,energy,igcc,0.4,0,2015
igcc__ot_saline,energy,igcc,0.3,0,2015
igcc_ccs__air,energy,igcc,220,0,2015
igcc_ccs__cl_fresh,energy,igcc,100,0,2015
igcc_ccs__ot_fresh,energy,igcc,0.4,0,2015
igcc_ccs__ot_saline,energy,igcc,0.3,0,2015
loil_cc__air,energy,loil_cc,140,0,2015
loil_cc__cl_fresh,energy,loil_cc,50,0,2015
loil_cc__ot_fresh,energy,loil_cc,0.2,0,2015
loil_cc__ot_saline,energy,loil_cc,0.3,0,2015
loil_ppl__air,energy,loil_ppl,220,0,2015
loil_ppl__cl_fresh,energy,loil_ppl,100,0,2015
loil_ppl__ot_fresh,energy,loil_ppl,0.4,0,2015
loil_ppl__ot_saline,energy,loil_ppl,0.3,0,2015
nuc_hc__air,energy,nuc_hc,220,0,2015
nuc_hc__cl_fresh,energy,nuc_hc,100,0,2015
nuc_hc__ot_fresh,energy,nuc_hc,0.4,0,2015
nuc_hc__ot_saline,energy,nuc_hc,0.3,0,2015
nuc_lc__air,energy,nuc_lc,220,0,2015
nuc_lc__cl_fresh,energy,nuc_lc,160,0,2015
nuc_lc__ot_fresh,energy,nuc_lc,0.8,0,2015
nuc_lc__ot_saline,energy,nuc_lc,0.6,0,2015
csp_sm1_res__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res_hist_2010__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res_hist_2010__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res_hist_2010__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res_hist_2010__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res_hist_2015__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res_hist_2015__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res_hist_2015__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res_hist_2015__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res_hist_2020__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res_hist_2020__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res_hist_2020__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res_hist_2020__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res1__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res1__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res1__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res1__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res2__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res2__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res2__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res2__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res3__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res3__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res3__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res3__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res4__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res4__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res4__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res4__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res5__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res5__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res5__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res5__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res6__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res6__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res6__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res6__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm1_res7__air,energy,csp_sm1_ppl,220,0,2015
csp_sm1_res7__cl_fresh,energy,csp_sm1_ppl,100,0,2015
csp_sm1_res7__ot_fresh,energy,csp_sm1_ppl,0.4,0,2015
csp_sm1_res7__ot_saline,energy,csp_sm1_ppl,0.3,0,2015
csp_sm3_res__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res1__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res1__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res1__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res1__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res2__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res2__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res2__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res2__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res3__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res3__cl_fresh,energy,csp_sm3_ppl,100,0,2015
csp_sm3_res3__ot_fresh,energy,csp_sm3_ppl,0.4,0,2015
csp_sm3_res3__ot_saline,energy,csp_sm3_ppl,0.3,0,2015
csp_sm3_res4__air,energy,csp_sm3_ppl,220,0,2015
csp_sm3_res4__cl_fresh,energy,csp_sm3_ppl,100,0,2015
