Technology,Parameter,Region,Level,Commodity,Species,Mode,Units,Value,Comment,Source
bf_steel,input,R12_RCPA,final,charcoal,,M3,GWa/Mt,0.19,See https://iiasahub.sharepoint.com/:p:/r/sites/eceprog/_layouts/15/Doc.aspx?sourcedoc=%7B14F8F8D4-C873-4D16-9FA4-443086497685%7D&file=Iron%26Steel.pptx&action=edit&mobileredirect=true,
bf_steel,input,R12_RCPA,final,charcoal,,M4,GWa/Mt,0.19,See https://iiasahub.sharepoint.com/:p:/r/sites/eceprog/_layouts/15/Doc.aspx?sourcedoc=%7B14F8F8D4-C873-4D16-9FA4-443086497685%7D&file=Iron%26Steel.pptx&action=edit&mobileredirect=true,
bf_steel,input,R12_RCPA,final,coal,,M1,GWa/Mt,0.17248059360730594,Average of 4.67 PJ/Mt and 6.2 PJ/Mt. (pulverized or dust coal),"Otto et al., 2017 and IEA ETSAP"
bf_steel,input,R12_RCPA,final,coal,,M2,GWa/Mt,0.1581997716894977,Average of 5.58 PJ/Mt and 4.39 PJ/Mt,"Otto et al., 2017 and IEA ETSAP"
bf_steel,input,R12_RCPA,final,coal,,M3,GWa/Mt,0.1,See https://iiasahub.sharepoint.com/:p:/r/sites/eceprog/_layouts/15/Doc.aspx?sourcedoc=%7B14F8F8D4-C873-4D16-9FA4-443086497685%7D&file=Iron%26Steel.pptx&action=edit&mobileredirect=true,
bf_steel,input,R12_RCPA,dummy_emission,coal,,M1,GWa/Mt,0.17248059360730594,,
bf_steel,input,R12_RCPA,dummy_emission,coal,,M2,GWa/Mt,0.1581997716894977,Important: This assumes all coal is turned into emissions. We cant directly deduct reduced emissions as this is energy units. In reporting CO2_Emission should be used to deduct from this amount. ,"IEA ETSAP - Technology Brief, 5.58PJ coal/MT steel"
bf_steel,input,R12_RCPA,dummy_emission,coal,,M3,GWa/Mt,0.1,,
bf_steel,input,R12_RCPA,final,co_gas,,M1,GWa/Mt,0.02073363774733638,Keep the share coming out CO,
bf_steel,input,R12_RCPA,final,co_gas,,M2,GWa/Mt,0.02073363774733638,Keep the share coming out CO,
bf_steel,input,R12_RCPA,final,co_gas,,M3,GWa/Mt,0.02073363774733638,For now assume the same as M1 unless other data found,
bf_steel,input,R12_RCPA,final,co_gas,,M4,GWa/Mt,0.02073363774733638,Assume the same as M2 unless other data is found.,
bf_steel,input,R12_RCPA,final,coke_iron,,M1,GWa/Mt,0.3110045662100457,Average of 9.3 PJ/Mt and 10.3 PJ/Mt,"Otto et al., 2017 and IEA ETSAP"
bf_steel,input,R12_RCPA,final,coke_iron,,M2,GWa/Mt,0.21468835616438353,Less coke is used in TGR-BF process. Experimentation in prototype scale oxygen blast furnaces showed 200-230 kg/ton hot metal as minimum feasible coke rate.,"IEA ETSAP - Technology Brief and Perpinan et al.,2023, Otto et al., 2017"
bf_steel,input,R12_RCPA,final,coke_iron,,M3,GWa/Mt,0.19,See https://iiasahub.sharepoint.com/:p:/r/sites/eceprog/_layouts/15/Doc.aspx?sourcedoc=%7B14F8F8D4-C873-4D16-9FA4-443086497685%7D&file=Iron%26Steel.pptx&action=edit&mobileredirect=true,
bf_steel,input,R12_RCPA,final,coke_iron,,M4,GWa/Mt,0.18,See https://iiasahub.sharepoint.com/:p:/r/sites/eceprog/_layouts/15/Doc.aspx?sourcedoc=%7B14F8F8D4-C873-4D16-9FA4-443086497685%7D&file=Iron%26Steel.pptx&action=edit&mobileredirect=true,
bf_steel,input,R12_RCPA,final,electr,,M1,GWa/Mt,0.017669345610110986,,"https://iiasahub-my.sharepoint.com/personal/min_iiasa_ac_at/_layouts/OneNote.aspx?id=%2Fpersonal%2Fmin_iiasa_ac_at%2FDocuments%2FJihoon%20%40%20IIASA&wd=target%28Iron-Steel.one%7C1237802F-59E5-42B4-BD96-84A3C2F166AD%2FProduction%20Processes%7C8D1CB766-0FAF-47A9-94C8-966FAA420195%2F%29
onenote:https://iiasahub-my.sharepoint.com/personal/min_iiasa_ac_at/Documents/Jihoon%20@%20IIASA/Iron-Steel.one#Production%20Processes&section-id={1237802F-59E5-42B4-BD96-84A3C2F166AD}&page-id={8D1CB766-0FAF-47A9-94C8-966FAA420195}&end"
bf_steel,input,R12_RCPA,final,electr,,M2,GWa/Mt,0.017669345610110986,Same as M1,"Perpinan et al.,2023"
bf_steel,input,R12_RCPA,final,electr,,M3,GWa/Mt,0.017669345610110986,For now assume the same as M1 unless other data found,
bf_steel,input,R12_RCPA,final,electr,,M4,GWa/Mt,0.017669345610110986,Assume the same as M2 unless other data is found.,
bf_steel,input,R12_RCPA,secondary_material,pellet_iron,,M1,Mt/Mt,0.155,,IEA ETSAP - Technology Brief
bf_steel,input,R12_RCPA,secondary_material,pellet_iron,,M2,Mt/Mt,0.04,,IEA ETSAP - Technology Brief
bf_steel,input,R12_RCPA,secondary_material,pellet_iron,,M3,Mt/Mt,0.155,,
bf_steel,input,R12_RCPA,secondary_material,pellet_iron,,M4,Mt/Mt,0.04,,
bf_steel,input,R12_RCPA,secondary_material,sinter_iron,,M1,Mt/Mt,1.34,,IEA ETSAP - Technology Brief
bf_steel,input,R12_RCPA,secondary_material,sinter_iron,,M2,Mt/Mt,1.58,,IEA ETSAP - Technology Brief
bf_steel,input,R12_RCPA,secondary_material,sinter_iron,,M3,Mt/Mt,1.34,,
bf_steel,input,R12_RCPA,secondary_material,sinter_iron,,M4,Mt/Mt,1.58,,
# bf_steel,input,R12_RCPA,water_supply,freshwater_supply,,M1,Mm3/Mt,0.98,http://www.coalstudy.com/zixun/tiekuang/15169.html,
# bf_steel,input,R12_RCPA,water_supply,freshwater_supply,,M2,Mm3/Mt,0.98,http://www.coalstudy.com/zixun/tiekuang/15169.html,
# bf_steel,input,R12_RCPA,water_supply,freshwater_supply,,M3,Mm3/Mt,0.98,For now assume the same as M1 unless other data found,
# bf_steel,input,R12_RCPA,water_supply,freshwater_supply,,M4,Mm3/Mt,0.98,Assume the same as M2 unless other data is found.,
# bf_steel,input,R12_RCPA,water_supply,water,,M1,Mm3/Mt,19.13,,
# bf_steel,input,R12_RCPA,water_supply,water,,M2,Mm3/Mt,19.13,,
# bf_steel,input,R12_RCPA,water_supply,water,,M3,Mm3/Mt,19.13,,
# bf_steel,input,R12_RCPA,water_supply,water,,M4,Mm3/Mt,19.13,Assume the same as M2 unless other data is found.,
bf_steel,output,R12_RCPA,tertiary_material,pig_iron,,M1,Mt,1.0,,
