# Share of MSA population that is suburban
#
# Units: dimensionless
#
# - Values are filled forward by year.
# - Duplicated manually from corresponding R11 data as of 2022-02-22.
#
node,    year, value
R12_NAM, 2010, 0.618
R12_NAM, 2015, 0.61
R12_NAM, 2020, 0.6
R12_NAM, 2025, 0.59
R12_NAM, 2030, 0.58
R12_NAM, 2035, 0.57
R12_NAM, 2040, 0.56
R12_NAM, 2045, 0.55
R12_NAM, 2050, 0.54
R12_NAM, 2060, 0.52
R12_NAM, 2070, 0.5
R12_NAM, 2080, 0.48
R12_NAM, 2090, 0.46
R12_NAM, 2100, 0.44
R12_NAM, 2110, 0.44
R12_LAM, 2010, 0.1
R12_WEU, 2010, 0.1
R12_EEU, 2010, 0.1
R12_FSU, 2010, 0.1
R12_MEA, 2010, 0.1
R12_AFR, 2010,  .05
R12_CHN, 2010,  .05
R12_RCPA, 2010, .05
R12_PAO, 2010, 0.1
R12_PAS, 2010, 0.05
R12_SAS, 2010, 0
