# Share of first-period stock by technology
#
# Source: (add link to Github issue for full description)
#
# - Values must sum to 1 across the 't' dimension for each unique combination of other
#   dimensions.
# - Technology codes annotated "historical-only: True" (e.g. ICE_L_ptrp) must be omitted
#   or have zero values. If not, incompatible/infeasible constraint values are created.
#
# Units: dimensionless
#
node,     technology,      value
R12_WEU,  IGH_ghyb,        0.001
R12_WEU,  PHEV_ptrp,       0.004

# F RAIL
*,        f rail electr,   0.5
*,        f rail lightoil, 0.5

# F ROAD
*,        FR_FCH,          0.0001
*,        FR_ICAe,         0.0500
*,        FR_ICE_H,        0.0001
*,        FR_ICE_L,        0.0001
*,        FR_ICE_M,        0.0001
*,        FR_ICH,          0.9492
*,        f road electr,   0.0001
*,        f road gas fc,   0.0001
*,        f road gas ic,   0.0001
*,        f road methanol, 0.0001

R12_CHN,  FR_FCH,          0.0001
R12_CHN,  FR_ICAe,         0.0500
R12_CHN,  FR_ICE_H,        0.0001
R12_CHN,  FR_ICE_L,        0.0001
R12_CHN,  FR_ICE_M,        0.0001
R12_CHN,  FR_ICH,          0.933268
R12_CHN,  f road electr,   0.0001
R12_CHN,  f road gas fc,   0.007966
R12_CHN,  f road gas ic,   0.007966
R12_CHN,  f road methanol, 0.0001

R12_EEU,  FR_FCH,          0.0001
R12_EEU,  FR_ICAe,         0.0001
R12_EEU,  FR_ICE_H,        0.0001
R12_EEU,  FR_ICE_L,        0.0001
R12_EEU,  FR_ICE_M,        0.0001
R12_EEU,  FR_ICH,          0.986512
R12_EEU,  f road electr,   0.0001
R12_EEU,  f road gas fc,   0.006294
R12_EEU,  f road gas ic,   0.006294
R12_EEU,  f road methanol, 0.0001

R12_FSU,  FR_FCH,          0.0001
R12_FSU,  FR_ICAe,         0.0001
R12_FSU,  FR_ICE_H,        0.0001
R12_FSU,  FR_ICE_L,        0.0001
R12_FSU,  FR_ICE_M,        0.0001
R12_FSU,  FR_ICH,          0.874732
R12_FSU,  f road electr,   0.0001
R12_FSU,  f road gas fc,   0.062184
R12_FSU,  f road gas ic,   0.062184
R12_FSU,  f road methanol, 0.0001

R12_LAM,  FR_FCH,          0.0001
R12_LAM,  FR_ICAe,         0.0001
R12_LAM,  FR_ICE_H,        0.0001
R12_LAM,  FR_ICE_L,        0.0001
R12_LAM,  FR_ICE_M,        0.0001
R12_LAM,  FR_ICH,          0.958872
R12_LAM,  f road electr,   0.0001
R12_LAM,  f road gas fc,   0.020114
R12_LAM,  f road gas ic,   0.020114
R12_LAM,  f road methanol, 0.0001

R12_NAM,  FR_FCH,          0.0001
R12_NAM,  FR_ICAe,         0.0001
R12_NAM,  FR_ICE_H,        0.0001
R12_NAM,  FR_ICE_L,        0.0001
R12_NAM,  FR_ICE_M,        0.0001
R12_NAM,  FR_ICH,          0.99904
R12_NAM,  f road electr,   0.0001
R12_NAM,  f road gas fc,   0.000003
R12_NAM,  f road gas ic,   0.000031
R12_NAM,  f road methanol, 0.0001

R12_RCPA, FR_FCH,          0.0001
R12_RCPA, FR_ICAe,         0.1
R12_RCPA, FR_ICE_H,        0.0001
R12_RCPA, FR_ICE_L,        0.0001
R12_RCPA, FR_ICE_M,        0.0001
R12_RCPA, FR_ICH,          0.898622
R12_RCPA, f road electr,   0.0001
R12_RCPA, f road gas fc,   0.000389
R12_RCPA, f road gas ic,   0.000389
R12_RCPA, f road methanol, 0.0001

R12_SAS,  FR_FCH,          0.0001
R12_SAS,  FR_ICAe,         0.0500
R12_SAS,  FR_ICE_H,        0.0001
R12_SAS,  FR_ICE_L,        0.0001
R12_SAS,  FR_ICE_M,        0.0001
R12_SAS,  FR_ICH,          0.89829
R12_SAS,  f road electr,   0.0001
R12_SAS,  f road gas fc,   0.025455
R12_SAS,  f road gas ic,   0.025455
R12_SAS,  f road methanol, 0.0001

R12_WEU,  FR_FCH,          0.0001
R12_WEU,  FR_ICAe,         0.0001
R12_WEU,  FR_ICE_H,        0.0001
R12_WEU,  FR_ICE_L,        0.0001
R12_WEU,  FR_ICE_M,        0.0001
R12_WEU,  FR_ICH,          0.997216
R12_WEU,  f road electr,   0.0001
R12_WEU,  f road gas fc,   0.000942
R12_WEU,  f road gas ic,   0.000942
R12_WEU,  f road methanol, 0.0001
