Period;Africa & Asia (ex China);North America;South America;Europe;Oceania;China;World
2023;12154;9777;8333;15044;10796;9173;10009
2022;12750;9031;7992;15228;11041;10496;10878
2021;12718;9366;8108;13132;1104;10849;10986
2020;12156;10363;8277;13707;10455;10878;10915
2019;12852;8938;8951;13462;10528;11437;11351
2018;12324;9888;933;13076;10713;11525;11359
2017;13099;9879;8591;12807;106;12054;11564
2016;15037;11591;864;12908;10746;11954;11388
2015;14786;12158;8974;12979;1045;12524;11933
2014;15011;11953;8624;13086;10673;13936;12579
2013;16642;11451;8847;13791;10508;15523;1326
2012;15683;11617;8882;13255;10128;1714;13675
2011;15491;11262;9043;14274;11411;1664;13759
2010;16212;12018;9814;14627;10721;18581;14346
2009;16955;11819;9554;17137;11203;19385;14647
2008;16787;10871;10504;1584;11295;23356;15554
2007;18057;10961;10741;14628;1123;25522;15934
2006;19093;12076;11065;17005;11457;23598;15201
2005;12788;11385;11190;12510;11444;29348;14133
2004;12581;10352;10043;12403;11864;30088;13756
2003;14536;10927;11112;12312;11745;32612;14193
2002;12938;11957;11436;1349;11375;33948;14554
2001;15421;11082;11807;12934;11087;34691;14366
2000;16687;11654;11903;12627;1137;35644;14479
1999;17106;11273;11709;12883;11964;38278;14774
1998;17468;11025;12144;13031;12126;40632;14919
1997;16356;11356;12052;12191;12269;-;12339
1996;16455;12668;1258;11987;12213;-;12637
1995;15065;12528;12794;12094;12301;-;12621
1994;15169;12327;12644;11723;115;-;12194
1993;15698;12872;12613;12264;11398;-;12353
1992;15004;1302;12372;12453;12447;-;12705
1991;15379;13286;12278;12084;12435;-;12696
1990;15488;13289;11985;12001;12706;-;12737
1989;14456;13653;11462;11893;12339;-;12476
1988;15463;13365;9981;1223;12402;-;12234
1987;18016;12728;9965;12269;12592;-;12229
1986;15536;11512;10286;12126;13031;-;12156
1985;16239;12048;12452;12267;13417;-;12977
