Region,Variable,Year,Value
China,USE|Inputs|Imports,2021,0.812
Europe,USE|Inputs|Imports,2021,4.393
Japan,USE|Inputs|Imports,2021,1.265
Middle East,USE|Inputs|Imports,2021,0.802
Non Producers,USE|Inputs|Imports,2021,2.831
North America,USE|Inputs|Imports,2021,5.248
Oceania,USE|Inputs|Imports,2021,0.461
Other Asia,USE|Inputs|Imports,2021,3.336
Other Producers,USE|Inputs|Imports,2021,1.653
South America,USE|Inputs|Imports,2021,0.5
China,USE|Inputs|Imports,2020,0.976
Europe,USE|Inputs|Imports,2020,3.916
Japan,USE|Inputs|Imports,2020,1.22
Middle East,USE|Inputs|Imports,2020,0.851
Non Producers,USE|Inputs|Imports,2020,2.916
North America,USE|Inputs|Imports,2020,6.132
Oceania,USE|Inputs|Imports,2020,0.463
Other Asia,USE|Inputs|Imports,2020,2.975
Other Producers,USE|Inputs|Imports,2020,1.568
South America,USE|Inputs|Imports,2020,0.481
China,USE|Inputs|Imports,2019,0.937
Europe,USE|Inputs|Imports,2019,4.149
Japan,USE|Inputs|Imports,2019,1.268
Middle East,USE|Inputs|Imports,2019,0.862
Non Producers,USE|Inputs|Imports,2019,3.248
North America,USE|Inputs|Imports,2019,4.5
Oceania,USE|Inputs|Imports,2019,0.421
Other Asia,USE|Inputs|Imports,2019,3.045
Other Producers,USE|Inputs|Imports,2019,1.639
South America,USE|Inputs|Imports,2019,0.528
China,USE|Inputs|Imports,2018,1.102
Europe,USE|Inputs|Imports,2018,4.145
Japan,USE|Inputs|Imports,2018,1.297
Middle East,USE|Inputs|Imports,2018,0.809
Non Producers,USE|Inputs|Imports,2018,2.861
North America,USE|Inputs|Imports,2018,4.651
Oceania,USE|Inputs|Imports,2018,0.38
Other Asia,USE|Inputs|Imports,2018,2.612
Other Producers,USE|Inputs|Imports,2018,1.244
South America,USE|Inputs|Imports,2018,0.556
China,USE|Inputs|Imports,2017,1.029
Europe,USE|Inputs|Imports,2017,3.988
Japan,USE|Inputs|Imports,2017,1.215
Middle East,USE|Inputs|Imports,2017,0.955
Non Producers,USE|Inputs|Imports,2017,2.919
North America,USE|Inputs|Imports,2017,4.486
Oceania,USE|Inputs|Imports,2017,0.414
Other Asia,USE|Inputs|Imports,2017,2.784
Other Producers,USE|Inputs|Imports,2017,1.399
South America,USE|Inputs|Imports,2017,0.53
China,USE|Inputs|Imports,2016,1.015
Europe,USE|Inputs|Imports,2016,3.363
Japan,USE|Inputs|Imports,2016,1.096
Middle East,USE|Inputs|Imports,2016,0.954
Non Producers,USE|Inputs|Imports,2016,2.798
North America,USE|Inputs|Imports,2016,4.376
Oceania,USE|Inputs|Imports,2016,0.298
Other Asia,USE|Inputs|Imports,2016,2.704
Other Producers,USE|Inputs|Imports,2016,1.051
South America,USE|Inputs|Imports,2016,0.445
China,USE|Inputs|Imports,2015,1.034
Europe,USE|Inputs|Imports,2015,3.338
Japan,USE|Inputs|Imports,2015,1.118
Middle East,USE|Inputs|Imports,2015,1.153
Non Producers,USE|Inputs|Imports,2015,3.044
North America,USE|Inputs|Imports,2015,4.551
Oceania,USE|Inputs|Imports,2015,0.311
Other Asia,USE|Inputs|Imports,2015,2.57
Other Producers,USE|Inputs|Imports,2015,1.021
South America,USE|Inputs|Imports,2015,0.49
China,USE|Inputs|Imports,2014,1.162
Europe,USE|Inputs|Imports,2014,3.181
Japan,USE|Inputs|Imports,2014,1.005
Middle East,USE|Inputs|Imports,2014,1.15
Non Producers,USE|Inputs|Imports,2014,3.199
North America,USE|Inputs|Imports,2014,4.155
Oceania,USE|Inputs|Imports,2014,0.342
Other Asia,USE|Inputs|Imports,2014,2.331
Other Producers,USE|Inputs|Imports,2014,1.609
South America,USE|Inputs|Imports,2014,0.467
China,USE|Inputs|Imports,2013,1.005
Europe,USE|Inputs|Imports,2013,3.033
Japan,USE|Inputs|Imports,2013,1.026
Middle East,USE|Inputs|Imports,2013,1.014
Non Producers,USE|Inputs|Imports,2013,2.982
North America,USE|Inputs|Imports,2013,3.621
Oceania,USE|Inputs|Imports,2013,0.517
Other Asia,USE|Inputs|Imports,2013,2.379
Other Producers,USE|Inputs|Imports,2013,1.499
South America,USE|Inputs|Imports,2013,0.463
China,USE|Inputs|Imports,2012,0.926
Europe,USE|Inputs|Imports,2012,2.912
Japan,USE|Inputs|Imports,2012,0.96
Middle East,USE|Inputs|Imports,2012,0.91
Non Producers,USE|Inputs|Imports,2012,2.424
North America,USE|Inputs|Imports,2012,3.277
Oceania,USE|Inputs|Imports,2012,0.245
Other Asia,USE|Inputs|Imports,2012,2.285
Other Producers,USE|Inputs|Imports,2012,1.171
South America,USE|Inputs|Imports,2012,0.536
China,USE|Inputs|Imports,2011,1.068
Europe,USE|Inputs|Imports,2011,3.04
Japan,USE|Inputs|Imports,2011,0.981
Middle East,USE|Inputs|Imports,2011,1.102
Non Producers,USE|Inputs|Imports,2011,2.671
North America,USE|Inputs|Imports,2011,3.017
Oceania,USE|Inputs|Imports,2011,0.369
Other Asia,USE|Inputs|Imports,2011,2.229
Other Producers,USE|Inputs|Imports,2011,1.378
South America,USE|Inputs|Imports,2011,0.466
China,USE|Inputs|Imports,2010,1.057
Europe,USE|Inputs|Imports,2010,2.66
Japan,USE|Inputs|Imports,2010,0.908
Middle East,USE|Inputs|Imports,2010,0.951
Non Producers,USE|Inputs|Imports,2010,2.4
North America,USE|Inputs|Imports,2010,2.673
Oceania,USE|Inputs|Imports,2010,0.293
Other Asia,USE|Inputs|Imports,2010,2.058
Other Producers,USE|Inputs|Imports,2010,1.052
South America,USE|Inputs|Imports,2010,0.417
China,USE|Inputs|Imports,2009,0.683
Europe,USE|Inputs|Imports,2009,2.153
Japan,USE|Inputs|Imports,2009,0.79
Middle East,USE|Inputs|Imports,2009,0.838
Non Producers,USE|Inputs|Imports,2009,1.643
North America,USE|Inputs|Imports,2009,1.999
Oceania,USE|Inputs|Imports,2009,0.132
Other Asia,USE|Inputs|Imports,2009,1.224
Other Producers,USE|Inputs|Imports,2009,0.803
South America,USE|Inputs|Imports,2009,0.3
China,USE|Inputs|Imports,2008,0.683
Europe,USE|Inputs|Imports,2008,2.718
Japan,USE|Inputs|Imports,2008,0.939
Middle East,USE|Inputs|Imports,2008,1.069
Non Producers,USE|Inputs|Imports,2008,2.003
North America,USE|Inputs|Imports,2008,2.509
