Region,technology,parameter,Unit,value,availability,Description,Source
all,dheat_aluminum,capacity_factor,,0.65,2030,,
all,fc_h2_aluminum,capacity_factor,,0.85,2030,,
all,furnace_biomass_aluminum,capacity_factor,,0.65,1980,,
all,furnace_coal_aluminum,capacity_factor,,0.65,1980,,
all,furnace_elec_aluminum,capacity_factor,,0.65,1980,,
all,furnace_ethanol_aluminum,capacity_factor,,0.65,1980,,
all,furnace_foil_aluminum,capacity_factor,,0.65,1980,,
all,furnace_gas_aluminum,capacity_factor,,0.65,1980,,
all,furnace_h2_aluminum,capacity_factor,,0.65,2030,,
all,furnace_loil_aluminum,capacity_factor,,0.65,1980,,
all,furnace_methanol_aluminum,capacity_factor,,0.65,2020,,
all,hp_elec_aluminum,capacity_factor,,0.65,1980,,
all,dheat_cement,capacity_factor,,0.65,2030,,
all,dheat_petro,capacity_factor,,0.65,2030,,
all,dheat_refining,capacity_factor,,0.65,2030,,
all,dheat_resins,capacity_factor,,0.65,2030,,
all,dheat_steel,capacity_factor,,0.65,2030,,
all,furnace_biomass_cement,capacity_factor,,0.65,1980,,
all,furnace_biomass_petro,capacity_factor,,0.65,1980,,
all,furnace_biomass_refining,capacity_factor,,0.65,1980,,
all,furnace_biomass_resins,capacity_factor,,0.65,1980,,
all,furnace_biomass_steel,capacity_factor,,0.65,1980,,
all,solar_aluminum,capacity_factor,,0.65,2030,,
all,furnace_coal_cement,capacity_factor,,0.65,1980,,
all,furnace_coal_petro,capacity_factor,,0.65,1980,,
all,furnace_coal_refining,capacity_factor,,0.65,1980,,
all,furnace_coal_resins,capacity_factor,,0.65,1980,,
all,furnace_coal_steel,capacity_factor,,0.65,1980,,
all,furnace_coke_petro,capacity_factor,,0.65,1980,,
all,furnace_coke_refining,capacity_factor,,0.65,1980,,
all,furnace_elec_cement,capacity_factor,,0.65,1980,,
all,furnace_elec_petro,capacity_factor,,0.65,1980,,
all,furnace_elec_refining,capacity_factor,,0.65,1980,,
all,furnace_elec_resins,capacity_factor,,0.65,1980,,
all,furnace_elec_steel,capacity_factor,,0.65,1980,,
all,furnace_ethanol_cement,capacity_factor,,0.65,1980,,
all,furnace_ethanol_petro,capacity_factor,,0.65,1980,,
all,furnace_ethanol_refining,capacity_factor,,0.65,1980,,
all,furnace_ethanol_resins,capacity_factor,,0.65,1980,,
all,furnace_ethanol_steel,capacity_factor,,0.65,1980,,
all,furnace_foil_cement,capacity_factor,,0.65,1980,,
all,furnace_foil_petro,capacity_factor,,0.65,1980,,
all,furnace_foil_refining,capacity_factor,,0.65,1980,,
all,furnace_foil_resins,capacity_factor,,0.65,1980,,
all,furnace_foil_steel,capacity_factor,,0.65,1980,,
all,furnace_gas_cement,capacity_factor,,0.65,1980,,
all,furnace_gas_petro,capacity_factor,,0.65,1980,,
all,furnace_gas_refining,capacity_factor,,0.65,1980,,
all,furnace_gas_resins,capacity_factor,,0.65,1980,,
all,furnace_gas_steel,capacity_factor,,0.65,1980,,
all,furnace_h2_cement,capacity_factor,,0.65,2030,,
all,furnace_h2_petro,capacity_factor,,0.65,2030,,
all,furnace_h2_refining,capacity_factor,,0.65,2030,,
all,furnace_h2_resins,capacity_factor,,0.65,2030,,
all,furnace_h2_steel,capacity_factor,,0.65,2030,,
all,furnace_loil_cement,capacity_factor,,0.65,1980,,
all,furnace_loil_petro,capacity_factor,,0.65,1980,,
all,furnace_loil_refining,capacity_factor,,0.65,1980,,
all,furnace_loil_resins,capacity_factor,,0.65,1980,,
all,furnace_loil_steel,capacity_factor,,0.65,1980,,
all,furnace_methanol_cement,capacity_factor,,0.65,2020,,
all,furnace_methanol_petro,capacity_factor,,0.65,2020,,
all,furnace_methanol_refining,capacity_factor,,0.65,2020,,
all,furnace_methanol_resins,capacity_factor,,0.65,2020,,
all,furnace_methanol_steel,capacity_factor,,0.65,2020,,
all,hp_elec_cement,capacity_factor,,0.65,1980,,
all,hp_elec_petro,capacity_factor,,0.65,1980,,
all,hp_elec_refining,capacity_factor,,0.65,1980,,
all,hp_elec_resins,capacity_factor,,0.65,1980,,
all,hp_elec_steel,capacity_factor,,0.65,1980,,
all,solar_cement,capacity_factor,,0.65,2030,,
all,solar_petro,capacity_factor,,0.65,2030,,
all,solar_refining,capacity_factor,,0.65,2030,,
all,solar_resins,capacity_factor,,0.65,2030,,
all,solar_steel,capacity_factor,,0.65,2030,,
all,fc_h2_cement,capacity_factor,,0.85,2030,,
all,fc_h2_petro,capacity_factor,,0.85,2030,,
all,fc_h2_refining,capacity_factor,,0.85,2030,,
all,fc_h2_resins,capacity_factor,,0.85,2030,,
all,fc_h2_steel,capacity_factor,,0.85,2030,,
all,furnace_coal_cement,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_coal_aluminum,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_coal_petro,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_coal_refining,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_coal_resins,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_coal_steel,emission_factor|PM2p5,kt / Gwa,0.0009830043378995434,1980,,fromGAINS_abated EF
all,furnace_gas_aluminum,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
all,furnace_gas_cement,emission_factor|PM2p5,kt / Gwa,0.0007955993173515983,1980,,fromGAINS_abated EF
