technology,parameter,region,commodity,level,mode,units,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
furnace_foil_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_steel,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_loil_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_foil_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_ethanol_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_biomass_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_methanol_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_gas_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_elec_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_h2_cement,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coal_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_cement,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_loil_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_foil_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_ethanol_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_biomass_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_methanol_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_gas_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_elec_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_h2_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
hp_elec_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
fc_h2_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
solar_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
dheat_aluminum,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coal_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_aluminum,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coke_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_loil_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_foil_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_ethanol_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_biomass_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_methanol_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_gas_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_elec_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_h2_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
hp_elec_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
fc_h2_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
solar_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
dheat_petro,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coal_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coke_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_petro,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coke_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_loil_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_foil_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_ethanol_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_biomass_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_methanol_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_gas_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_elec_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_h2_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
hp_elec_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
fc_h2_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
solar_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
dheat_refining,growth_activity_lo,R12_CHN,,,high_temp,%,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
furnace_coal_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coke_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_biomass_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_methanol_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_gas_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_elec_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_h2_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
hp_elec_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fc_h2_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
solar_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
dheat_refining,growth_activity_up,R12_CHN,,,high_temp,%,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_coal_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
furnace_foil_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,
furnace_biomass_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_coke_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
furnace_methanol_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_methanol_resins,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_loil_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_elec_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_ethanol_petro,bound_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,0.0,,,,,,,,,,,,,
furnace_coal_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_loil_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_foil_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
furnace_ethanol_steel,initial_activity_up,R12_CHN,,,high_temp,Gwa,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
