value,node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,unit
1,R12_MEA,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_NAM,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_PAO,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_PAS,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_SAS,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_WEU,bunker_global_lh2,broadcast,broadcast,M1,R12_GLB,lh2,bunker,year,year,GWa
1,R12_AFR,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_RCPA,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_CHN,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_EEU,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_FSU,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_LAM,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_MEA,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_NAM,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_PAO,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_PAS,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_SAS,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_WEU,lh2_tanker_loil,broadcast,broadcast,M1,R12_GLB,lh2_tanker_capacity,shipped,year,year,Mt-km
1,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
