"utype","cooling","investment_million_USD_per_MW_low","investment_million_USD_per_MW_mid","investment_million_USD_per_MW_high","mix_AFR","mix_CPA","mix_EEU","mix_FSU","mix_LAM","mix_MEA","mix_NAM","mix_PAO","mix_PAS","mix_SAS","mix_WEU","utype_pl"
"bio_hpl","ot_fresh",2e-04,4e-04,6e-04,0.010750298,0,0.081698237,0.609911055,0.001179096,0,0.097789343,0.012961586,0.00084261,0,0.180516268,"0"
"bio_hpl","cl_fresh",0.05,0.1,0.15,0.804634875,1,0.853124222,0.334180432,0.92790759,1,0.808578306,0.747005435,0.887137735,0.924710333,0.510667331,"0"
"bio_hpl","ot_saline",2e-04,3e-04,5e-04,0.184614826,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.112019655,0.022447661,0.248983976,"0"
"bio_hpl","air",0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,"0"
"bio_istig","ot_fresh",2e-04,4e-04,6e-04,0.010750298,0,0.081698237,0.609911055,0.001179096,0,0.097789343,0.012961586,0.00084261,0,0.180516268,"0"
"bio_istig","cl_fresh",0.05,0.1,0.15,0.804634875,1,0.853124222,0.334180432,0.92790759,1,0.808578306,0.747005435,0.887137735,0.924710333,0.510667331,"0"
"bio_istig","ot_saline",2e-04,3e-04,5e-04,0.184614826,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.112019655,0.022447661,0.248983976,"0"
"bio_istig","air",0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,"0"
"bio_istig_ccs","ot_fresh",2e-04,4e-04,6e-04,0.010750298,0,0.081698237,0.609911055,0.001179096,0,0.097789343,0.012961586,0.00084261,0,0.180516268,"0"
"bio_istig_ccs","cl_fresh",0.05,0.1,0.15,0.804634875,1,0.853124222,0.334180432,0.92790759,1,0.808578306,0.747005435,0.887137735,0.924710333,0.510667331,"0"
"bio_istig_ccs","ot_saline",2e-04,3e-04,5e-04,0.184614826,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.112019655,0.022447661,0.248983976,"0"
"bio_ppl","ot_fresh",2e-04,4e-04,6e-04,0.010750298,0,0.081698237,0.609911055,0.001179096,0,0.097789343,0.012961586,0.00084261,0,0.180516268,"bio_ppl"
"bio_ppl","cl_fresh",0.05,0.1,0.15,0.804634875,1,0.853124222,0.334180432,0.92790759,1,0.808578306,0.747005435,0.887137735,0.924710333,0.510667331,"bio_ppl"
"bio_ppl","ot_saline",2e-04,3e-04,5e-04,0.184614826,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.112019655,0.022447661,0.248983976,"bio_ppl"
"bio_ppl","air",0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,"bio_ppl"
"coal_adv","ot_fresh",2e-04,4e-04,6e-04,0,0.118439218,0,0,0,0,0.216512901,0,0,0,0.073612309,"coal_adv"
"coal_adv","cl_fresh",0.05,0.1,0.15,1,0.330176569,1,0,0,0,0.748827852,0,1,0.377358491,0.583128855,"coal_adv"
"coal_adv","ot_saline",2e-04,3e-04,5e-04,0,0.474604597,0,0,0,0,0.024443365,1,0,0.622641509,0.343258837,"coal_adv"
"coal_adv","air",0.16,0.22,0.35,0,0.076779616,0,0,0,0,0.010215882,0,0,0,0,"coal_adv"
"coal_adv_ccs","ot_fresh",2e-04,4e-04,6e-04,0,0.118439218,0,0,0,0,0.216512901,0,0,0,0.073612309,"0"
"coal_adv_ccs","cl_fresh",0.11,0.16,0.2,1,0.330176569,1,0,0,0,0.748827852,0,1,0.377358491,0.583128855,"0"
"coal_adv_ccs","ot_saline",2e-04,3e-04,5e-04,0,0.474604597,0,0,0,0,0.024443365,1,0,0.622641509,0.343258837,"0"
"coal_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0.049343299,0.183393394,0.43979681,0.001982396,0.001551186,0.172273068,0.002354363,0,0.000450538,0.059296567,"coal_ppl"
"coal_ppl","cl_fresh",0.05,0.1,0.15,0.983803795,0.640615054,0.808992927,0.56020319,0.608016888,0.188635539,0.793840538,0.230844307,0.356084905,0.959918489,0.708086935,"coal_ppl"
"coal_ppl","ot_saline",2e-04,3e-04,5e-04,0.016196205,0.223728445,8.75e-05,0,0.390000716,0.808262088,0.025253775,0.713128431,0.643915095,0.039630972,0.232616498,"coal_ppl"
"coal_ppl","air",0.16,0.22,0.35,0,0.086313202,0.007526165,0,0,0.001551186,0.008632619,0.053672899,0,0,0,"coal_ppl"
"coal_ppl_u","ot_fresh",2e-04,4e-04,6e-04,0,0.077306331,0.241918866,0.391438133,0.071556351,0,0.423243168,0.015852769,0,0.087707645,0.041062213,"coal_ppl_u"
"coal_ppl_u","cl_fresh",0.11,0.16,0.2,0.84733956,0.73226449,0.71882571,0.591049574,0.543629497,0.065312046,0.537277145,0.628509191,0.496574674,0.883697268,0.667756308,"coal_ppl_u"
"coal_ppl_u","ot_saline",2e-04,3e-04,5e-04,0.005372229,0.099828985,0.017296548,0.017512293,0.384814152,0.934687954,0.038781641,0.355638039,0.503425326,0.02564853,0.279995425,"coal_ppl_u"
"coal_ppl_u","air",0.16,0.22,0.35,0.147288211,0.090600195,0.021958876,0,0,0,0.000698046,0,0,0.002946556,0.011186054,"coal_ppl_u"
"foil_hpl","ot_fresh",2e-04,4e-04,6e-04,0,0.05407057,0.343352239,0.52362831,0.023206799,0.102714288,0.085376631,0.000512033,0.080919293,0.097494187,0.247173844,"0"
"foil_hpl","cl_fresh",0.05,0.1,0.15,0.870756403,0.233817979,0.504962738,0.469868082,0.420414148,0.225980527,0.236764366,0.088740449,0.043721316,0.385709902,0.170787939,"0"
"foil_hpl","ot_saline",2e-04,3e-04,5e-04,0.129243597,0.712111451,0.151685023,0.006503608,0.555850825,0.660582654,0.677859003,0.910747518,0.875359391,0.516795911,0.57867279,"0"
"foil_hpl","air",0.16,0.22,0.35,0,0,0,0,0.000528228,0.010722531,0,0,0,0,0.003365426,"0"
"foil_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0.05407057,0.343352239,0.52362831,0.023206799,0.102714288,0.085376631,0.000512033,0.080919293,0.097494187,0.247173844,"foil_ppl"
"foil_ppl","cl_fresh",0.05,0.1,0.15,0.870756403,0.233817979,0.504962738,0.469868082,0.420414148,0.225980527,0.236764366,0.088740449,0.043721316,0.385709902,0.170787939,"foil_ppl"
"foil_ppl","ot_saline",2e-04,3e-04,5e-04,0.129243597,0.712111451,0.151685023,0.006503608,0.555850825,0.660582654,0.677859003,0.910747518,0.875359391,0.516795911,0.57867279,"foil_ppl"
"foil_ppl","air",0.16,0.22,0.35,0,0,0,0,0.000528228,0.010722531,0,0,0,0,0.003365426,"foil_ppl"
"gas_cc","ot_fresh",1e-04,2e-04,3e-04,0,0.028153657,0.208538175,0.187079269,0.063618544,0.062901479,0.02699093,0,0,0.0201428,0.073337661,"gas_cc"
"gas_cc","cl_fresh",0.02,0.05,0.07,0.844933285,0.527510786,0.743267274,0.711914922,0.62116579,0.571009457,0.804063415,0.330585634,0.568864172,0.917737552,0.555181967,"gas_cc"
"gas_cc","ot_saline",1e-04,0.00015,0.00025,0.010818608,0.424381145,0,0.081217411,0.179241054,0.288642968,0.041646693,0.661113792,0.415135131,0.030946798,0.223417337,"gas_cc"
"gas_cc","air",0.1,0.14,0.2,0.144248107,0.019954412,0.048194551,0.019788398,0.135974612,0.077446097,0.127298962,0.008300574,0.016000697,0.03117285,0.148063034,"gas_cc"
"gas_cc_ccs","ot_fresh",2e-04,4e-04,6e-04,0,0.028153657,0.208538175,0.187079269,0.063618544,0.062901479,0.02699093,0,0,0.0201428,0.073337661,"0"
"gas_cc_ccs","cl_fresh",0.11,0.16,0.2,0.844933285,0.527510786,0.743267274,0.711914922,0.62116579,0.571009457,0.804063415,0.330585634,0.568864172,0.917737552,0.555181967,"0"
"gas_cc_ccs","ot_saline",2e-04,3e-04,5e-04,0.010818608,0.424381145,0,0.081217411,0.179241054,0.288642968,0.041646693,0.661113792,0.415135131,0.030946798,0.223417337,"0"
"gas_hpl","ot_fresh",2e-04,4e-04,6e-04,0,0.028153657,0.208538175,0.187079269,0.063618544,0.062901479,0.02699093,0,0,0.0201428,0.073337661,"0"
"gas_hpl","cl_fresh",0.05,0.1,0.15,0.844933285,0.527510786,0.743267274,0.711914922,0.62116579,0.571009457,0.804063415,0.330585634,0.568864172,0.917737552,0.555181967,"0"
"gas_hpl","ot_saline",2e-04,3e-04,5e-04,0.010818608,0.424381145,0,0.081217411,0.179241054,0.288642968,0.041646693,0.661113792,0.415135131,0.030946798,0.223417337,"0"
"gas_hpl","air",0.16,0.22,0.35,0.144248107,0.019954412,0.048194551,0.019788398,0.135974612,0.077446097,0.127298962,0.008300574,0.016000697,0.03117285,0.148063034,"0"
"gas_ppl","ot_fresh",2e-04,4e-04,6e-04,0.306330186,0,0.071083367,0.421357099,0.078821419,0.102258936,0.202144567,4.81e-05,0,0.170539555,0.149052026,"gas_ppl"
"gas_ppl","cl_fresh",0.05,0.1,0.15,0.045141157,0.45716608,0.883608538,0.556884171,0.31541158,0.342349999,0.592517161,0.03409721,0.691025409,0.586390944,0.351735602,"gas_ppl"
"gas_ppl","ot_saline",2e-04,3e-04,5e-04,0.633507842,0.54283392,0.004195194,0.019850848,0.603650989,0.542907777,0.204142373,0.964269639,0.307832547,0.240083865,0.497046293,"gas_ppl"
"gas_ppl","air",0.16,0.22,0.35,0.015020816,0,0.041112901,0.001907882,0.002116011,0.012483288,0.001195899,0.001585035,0.001142043,0.002985636,0.002166079,"gas_ppl"
"geo_hpl","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0.1166778,0,0,0,"0"
"geo_hpl","cl_fresh",0.05,0.1,0.15,1,1,0,0.87394958,0.981707836,0,0.989376846,0.83351889,1,0,0.925989885,"0"
"geo_hpl","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0.018292164,0,0,0.00118756,0,0,0.074010115,"0"
"geo_hpl","air",0.16,0.22,0.35,0,0,0,0.12605042,0,0,0.010623154,0.04861575,0,0,0,"0"
"geo_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0.1166778,0,0,0,"geo_ppl"
"geo_ppl","cl_fresh",0.05,0.1,0.15,1,1,0,0.87394958,0.981707836,0,0.989376846,0.83351889,1,0,0.925989885,"geo_ppl"
"geo_ppl","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0.018292164,0,0,0.00118756,0,0,0.074010115,"geo_ppl"
"geo_ppl","air",0.16,0.22,0.35,0,0,0,0.12605042,0,0,0.010623154,0.04861575,0,0,0,"geo_ppl"
"igcc","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc","cl_fresh",0.02,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc","air",0.1,0.14,0.2,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc_ccs","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc_ccs","cl_fresh",0.04,0.1,0.16,0,0,0,0,0,0,0,0,0,0,0,"0"
"igcc_ccs","ot_saline",2e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,"0"
"loil_cc","ot_fresh",1e-04,2e-04,3e-04,0,0,0,0,0,0,0.148976314,0.023391813,0,0,0,"0"
"loil_cc","cl_fresh",0.02,0.05,0.07,0,0,1,0,0.5920102,0,0.7359477,0.969728242,1,1,0.481196194,"0"
"loil_cc","ot_saline",2e-04,3e-04,5e-04,0,1,0,0,0.4079898,0,0.115075986,0.006879945,0,0,0.518803806,"0"
"loil_cc","air",0.1,0.14,0.2,0,0,0,0,0,0,0,0,0,0,0,"0"
"loil_ppl","ot_fresh",2e-04,4e-04,6e-04,0,0,0,0,0,0,0.148976314,0.023391813,0,0,0,"loil_ppl"
"loil_ppl","cl_fresh",0.05,0.1,0.15,0,0,1,0,0.5920102,0,0.7359477,0.969728242,1,1,0.481196194,"loil_ppl"
