"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"2",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"3",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"4",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"5",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"6",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"7",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"8",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"9",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"10",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
"11",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
