"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.002,0.044,0.559,0.369,0.277,0.141,0.883,0.817,0.082,0.672,0.132
"2",0.018,0.033,0.516,0.257,0.197,0.174,0.901,0.779,0.083,0.796,0.168
"3",0.5,0.5,0.668,0.507,0.502,0.522,0.937,0.819,0.509,0.877,0.503
"4",0.5,0.5,0.75,0.516,0.505,0.62,0.963,0.865,0.519,0.926,0.71
"5",0.5,0.5,0.839,0.557,0.515,0.681,0.979,0.924,0.563,0.956,0.819
"6",0.504,0.5,0.911,0.65,0.581,0.738,0.989,0.964,0.682,0.974,0.865
"7",0.549,0.506,0.956,0.718,0.639,0.82,0.994,0.984,0.758,0.984,0.913
"8",0.726,0.544,0.978,0.756,0.712,0.91,0.996,0.992,0.829,0.991,0.959
"9",0.868,0.716,0.989,0.849,0.814,0.963,0.998,0.996,0.905,0.994,0.981
"10",0.684,0.524,1.091,0.921999999999999,0.813,1.066,1.009,1.044,0.985999999999999,1.014,1.057
"11",0.729,0.53,1.136,0.989999999999999,0.871,1.148,1.014,1.064,1.062,1.024,1.105
