# Share of urbanized area that is suburban
#
# - Empty values are filled forward by year.
#
# NB (DLM 2010-04-10) All future values and all 2010 non-NAM values are
#    guesstimates for now.
year,   nam, lam, weu, eeu, fsu, mea,  afr,  cpa, pao,  pas, sas
2010, 0.618, 0.1, 0.1, 0.1, 0.1, 0.1, 0.05, 0.05, 0.1, 0.05,   0
2015, 0.61 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2025, 0.6  ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2025, 0.59 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2035, 0.58 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2035, 0.57 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2045, 0.56 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2045, 0.55 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2050, 0.54 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2060, 0.52 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2070, 0.5  ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2080, 0.48 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2090, 0.46 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
2100, 0.44 ,    ,    ,    ,    ,    ,     ,     ,    ,     ,
